Sep 10,12:00 PM,Sarnia PASA (Rink 1),Lambton Jr Sting,Windsor Jr Spitfires,11,4
Sep 10,2:30 PM,Essex (Libro),Sun County Panthers,Kitchener Jr Rangers,1,6
Sep 11,11:30 AM,Central Park (North),Windsor Jr Spitfires,Kitchener Jr Rangers,4,4
Sep 11,3:00 PM,Essex (Shaheen),Sun County Panthers,Lambton Jr Sting,1,6
Sep 11,5:00 PM,Blenheim,Chatham-Kent Cyclones,Kitchener Jr Rangers,2,5
Sep 12,6:30 PM,Memorial,Chatham-Kent Cyclones,London Jr Knights,2,5
Sep 14,6:30 PM,Gretzky Center (#2),Brantford 99ers,Cambridge Hawks,5,3
Sep 14,7:00 PM,Sarnia PASA (Rink 1),Lambton Jr Sting,London Jr Knights,5,12
Sep 16,7:00 PM,Tilbury,Chatham-Kent Cyclones,Windsor Jr Spitfires,4,1
Sep 17,3:45 PM,St. Marys (Blue),Huron-Perth Lakers,Hamilton Huskies,1,7
Sep 17,5:00 PM,Preston Aud,Cambridge Hawks,Chatham-Kent Cyclones,3,3
Sep 18,1:00 PM,Sportsworld (Spec),Kitchener Jr Rangers,Chatham-Kent Cyclones,8,2
Sep 18,1:15 PM,Komoka CW&RC (1 - Molson),Elgin-Middlesex Chiefs,Windsor Jr Spitfires,9,2
Sep 18,1:30 PM,RIM Park (Pillers),Waterloo Wolves,Hamilton Huskies,4,3
Sep 18,3:00 PM,Galt Arena,Cambridge Hawks,Lambton Jr Sting,1,5
Sep 18,4:00 PM,Gretzky Center (#1),Brantford 99ers,Huron-Perth Lakers,3,5
Sep 24,12:00 PM,Sarnia PASA (Rink 1),Lambton Jr Sting,Hamilton Huskies,2,3
Sep 24,12:00 PM,Gretzky Center (#1),Brantford 99ers,Waterloo Wolves,5,3
Sep 24,4:00 PM,Central Park (North),Windsor Jr Spitfires,Sun County Panthers,4,3
Sep 25,1:30 PM,RIM Park (Pillers),Waterloo Wolves,Lambton Jr Sting,2,5
Sep 25,3:45 PM,Galt Arena,Cambridge Hawks,Huron-Perth Lakers,8,2
Sep 27,6:00 PM,Blenheim,Chatham-Kent Cyclones,Lambton Jr Sting,1,5
Sep 27,7:00 PM,Galt Arena,Cambridge Hawks,Brantford 99ers,4,6
Sep 30,7:00 PM,Essex (Shaheen),Sun County Panthers,Chatham-Kent Cyclones,2,3
Oct 01,12:00 PM,Essex (Libro),Sun County Panthers,Hamilton Huskies,4,4
Oct 01,1:45 PM,Komoka CW&RC (1 - Molson),Elgin-Middlesex Chiefs,Cambridge Hawks,7,0
Oct 01,2:30 PM,Nichols (A),London Jr Knights,Waterloo Wolves,9,0
Oct 01,3:00 PM,The Aud (Kinsmen),Kitchener Jr Rangers,Huron-Perth Lakers,10,3
Oct 01,5:30 PM,Central Park (North),Windsor Jr Spitfires,Hamilton Huskies,2,5
Oct 02,1:30 PM,RIM Park (Pillers),Waterloo Wolves,Elgin-Middlesex Chiefs,2,1
Oct 02,3:15 PM,Western Fair (HanStone),London Jr Knights,Windsor Jr Spitfires,2,0
Oct 02,3:30 PM,Blenheim,Chatham-Kent Cyclones,Hamilton Huskies,2,6
Oct 02,4:15 PM,Galt Arena,Cambridge Hawks,Kitchener Jr Rangers,3,2
Oct 07,7:00 PM,Nichols (A),London Jr Knights,Lambton Jr Sting,8,5
Oct 08,12:00 PM,Sarnia PASA (Rink 1),Lambton Jr Sting,Cambridge Hawks,8,5
