Sep 24,6:30 PM,RIM Park (Pillers),Waterloo Wolves,Lambton Jr Sting,2,3
Sep 30,6:00 PM,Gretzky Center (#1),London Jr Knights,Waterloo Wolves,3,0
Sep 30,6:30 PM,Gretzky Center (#3),Lambton Jr Sting,Cambridge Hawks,2,0
Sep 30,8:00 PM,Gretzky Center (#1),Windsor Jr Spitfires,Kitchener Jr Rangers,4,3
Sep 30,8:30 PM,Gretzky Center (#3),Brantford 99ers,Huron-Perth Lakers,5,2
Oct 01,10:00 AM,Gretzky Center (#1),Cambridge Hawks,London Jr Knights,0,7
Oct 01,10:30 AM,Gretzky Center (#3),Waterloo Wolves,Windsor Jr Spitfires,4,1
Oct 01,12:00 PM,Gretzky Center (#1),Huron-Perth Lakers,Kitchener Jr Rangers,2,1
Oct 01,12:30 PM,Gretzky Center (#3),Brantford 99ers,Lambton Jr Sting,2,0
Oct 01,5:00 PM,Gretzky Center (#1),Lambton Jr Sting,Waterloo Wolves,2,1
Oct 01,5:30 PM,Gretzky Center (#3),Windsor Jr Spitfires,Brantford 99ers,4,0
Oct 01,7:00 PM,Gretzky Center (#1),Huron-Perth Lakers,Cambridge Hawks,2,3
Oct 01,7:30 PM,Gretzky Center (#3),Kitchener Jr Rangers,London Jr Knights,1,0
Oct 02,10:00 AM,Gretzky Center (#1),Cambridge Hawks,Windsor Jr Spitfires,2,6
Oct 02,11:00 AM,Gretzky Center (#3),Kitchener Jr Rangers,Lambton Jr Sting,1,2
Oct 02,12:00 PM,Gretzky Center (#1),Waterloo Wolves,Huron-Perth Lakers,5,2
Oct 02,1:00 PM,Gretzky Center (#3),London Jr Knights,Brantford 99ers,5,0
Oct 05,8:00 PM,Gretzky Center (#3),Brantford 99ers,Waterloo Wolves,5,1
Oct 07,8:00 PM,Rotary Complex (RBC),Huron-Perth Lakers,London Jr Knights,2,7
Oct 07,8:30 PM,Central Park (North),Windsor Jr Spitfires,Kitchener Jr Rangers,6,4
Oct 07,8:30 PM,Galt Arena,Cambridge Hawks,Lambton Jr Sting,1,5
Oct 08,6:30 PM,Komoka CW&RC (2 - Coors),Lambton Jr Sting,Huron-Perth Lakers,6,2
