Sep 10,12:15 PM,2016,Komoka CW&RC (1 - Molson),Elgin-Middlesex Chiefs,Sun County Panthers,2,1
Sep 10,2:30 PM,2016,Inch Park,Hamilton Huskies,Windsor Jr Spitfires,1,4
Sep 10,8:00 PM,2016,Clearwater (Blue),Lambton Jr Sting,Huron-Perth Lakers,4,1
Sep 11,12:00 PM,2016,Sarnia PASA (Rink 1),Lambton Jr Sting,Elgin-Middlesex Chiefs,2,3
Sep 11,12:00 PM,2016,Gretzky Center (#1),Brantford 99ers,Windsor Jr Spitfires,8,1
Sep 11,3:30 PM,2016,Milverton Arena,Huron-Perth Lakers,Hamilton Huskies,2,1
Sep 17,8:30 AM,2016,Central Park (North),Waterloo Wolves,Windsor Jr Spitfires,3,1
Sep 17,9:00 AM,2016,Central Park (South),Huron-Perth Lakers,Sun County Panthers,1,1
Sep 17,10:00 AM,2016,Central Park (North),Cambridge Hawks,Elgin-Middlesex Chiefs,3,0
Sep 17,10:30 AM,2016,Central Park (South),Hamilton Huskies,London Jr Knights,0,3
Sep 17,11:30 AM,2016,Central Park (North),Kitchener Jr Rangers,Lambton Jr Sting,3,2
Sep 17,12:00 PM,2016,Central Park (South),Brantford 99ers,Chatham-Kent Cyclones,6,0
Sep 17,4:00 PM,2016,Central Park (South),London Jr Knights,Cambridge Hawks,2,3
Sep 17,4:30 PM,2016,Central Park (North),Chatham-Kent Cyclones,Kitchener Jr Rangers,0,5
Sep 17,5:30 PM,2016,Central Park (South),Elgin-Middlesex Chiefs,Hamilton Huskies,4,2
Sep 17,6:00 PM,2016,Central Park (North),Lambton Jr Sting,Waterloo Wolves,2,4
Sep 17,7:00 PM,2016,Central Park (South),Windsor Jr Spitfires,Huron-Perth Lakers,2,2
Sep 17,7:30 PM,2016,Central Park (North),Sun County Panthers,Brantford 99ers,1,4
Sep 18,8:30 AM,2016,Central Park (North),Cambridge Hawks,Chatham-Kent Cyclones,3,2
Sep 18,9:00 AM,2016,Central Park (South),Huron-Perth Lakers,Lambton Jr Sting,3,2
Sep 18,10:00 AM,2016,Central Park (North),Kitchener Jr Rangers,Windsor Jr Spitfires,4,1
Sep 18,10:30 AM,2016,Central Park (South),Hamilton Huskies,Sun County Panthers,0,9
Sep 18,11:30 AM,2016,Central Park (North),Brantford 99ers,Elgin-Middlesex Chiefs,3,1
Sep 18,12:00 PM,2016,Central Park (South),Waterloo Wolves,London Jr Knights,0,2
Sep 18,1:30 PM,2016,Central Park (North),Chatham-Kent Cyclones,Huron-Perth Lakers,1,3
Sep 18,2:00 PM,2016,Central Park (South),Windsor Jr Spitfires,Cambridge Hawks,3,4
