Sep 10,1:45 PM,2016,Komoka CW&RC (1 - Molson),Elgin-Middlesex Chiefs,Sun County Panthers,2,4
Sep 10,3:00 PM,2016,Sarnia PASA (Rink 1),Lambton Jr Sting,Brantford 99ers,2,3
Sep 10,5:15 PM,2016,St. Marys (Blue),Huron-Perth Lakers,Waterloo Wolves,3,1
Sep 11,10:00 AM,2016,Central Park (North),Windsor Jr Spitfires,Lambton Jr Sting,3,3
Sep 11,1:15 PM,2016,Komoka CW&RC (1 - Molson),Elgin-Middlesex Chiefs,Huron-Perth Lakers,4,3
Sep 11,4:30 PM,2016,Essex (Shaheen),Sun County Panthers,Lambton Jr Sting,6,1
Sep 17,12:15 PM,2016,Komoka CW&RC (1 - Molson),Elgin-Middlesex Chiefs,Chatham-Kent Cyclones,1,4
Sep 17,2:30 PM,2016,Milverton Arena,Huron-Perth Lakers,Waterloo Wolves,2,3
Sep 17,3:00 PM,2016,Inch Park,Hamilton Huskies,Windsor Jr Spitfires,2,3
Sep 17,4:15 PM,2016,Activa (Alumni),Kitchener Jr Rangers,Brantford 99ers,2,2
Sep 18,12:00 PM,2016,RIM Park (Pillers),Waterloo Wolves,Elgin-Middlesex Chiefs,0,6
Sep 18,2:30 PM,2016,Gretzky Center (#2),Brantford 99ers,Windsor Jr Spitfires,1,2
Sep 18,4:30 PM,2016,Allman,Huron-Perth Lakers,Hamilton Huskies,2,4
Sep 22,7:00 PM,2016,Sarnia PASA (Rink 1),Lambton Jr Sting,Chatham-Kent Cyclones,1,6
Sep 23,7:00 PM,2016,Essex (Shaheen),Sun County Panthers,Windsor Jr Spitfires,5,2
Sep 23,7:00 PM,2016,RIM Park (Pillers),Waterloo Wolves,Kitchener Jr Rangers,2,6
Sep 24,1:00 PM,2016,Essex (Libro),Sun County Panthers,Brantford 99ers,2,4
Sep 24,1:30 PM,2016,Memorial,Chatham-Kent Cyclones,Huron-Perth Lakers,6,3
Sep 24,1:45 PM,2016,Komoka CW&RC (1 - Molson),Elgin-Middlesex Chiefs,Kitchener Jr Rangers,6,6
Sep 24,3:00 PM,2016,Sarnia PASA (Rink 1),Lambton Jr Sting,Hamilton Huskies,1,3
Sep 24,5:30 PM,2016,Central Park (North),Windsor Jr Spitfires,Brantford 99ers,3,0
Sep 25,12:00 PM,2016,RIM Park (Pillers),Waterloo Wolves,Hamilton Huskies,1,4
Sep 25,12:00 PM,2016,Central Park (North),Windsor Jr Spitfires,Huron-Perth Lakers,4,1
Sep 25,1:30 PM,2016,Sarnia PASA (Rink 1),Lambton Jr Sting,Elgin-Middlesex Chiefs,1,8
Sep 25,5:00 PM,2016,Blenheim,Chatham-Kent Cyclones,Brantford 99ers,3,1
Sep 25,5:00 PM,2016,Essex (Shaheen),Sun County Panthers,Huron-Perth Lakers,7,0
Sep 28,7:00 PM,2016,Gretzky Center (#1),Brantford 99ers,Hamilton Huskies,4,6
Oct 01,12:00 PM,2016,Sarnia PASA (Rink 1),Lambton Jr Sting,Kitchener Jr Rangers,0,4
Oct 01,1:30 PM,2016,Essex (Libro),Sun County Panthers,Hamilton Huskies,5,2
Oct 01,7:00 PM,2016,Central Park (North),Windsor Jr Spitfires,Hamilton Huskies,3,2
Oct 01,7:00 PM,2016,Nichols (A),London Jr Knights,Chatham-Kent Cyclones,1,3
Oct 02,1:00 PM,2016,Civic Centre,Brantford 99ers,Huron-Perth Lakers,3,2
Oct 02,2:45 PM,2016,Komoka CW&RC (1 - Molson),Elgin-Middlesex Chiefs,Sun County Panthers,2,5
Oct 02,4:45 PM,2016,Western Fair (HanStone),London Jr Knights,Windsor Jr Spitfires,7,1
Oct 02,5:00 PM,2016,Blenheim,Chatham-Kent Cyclones,Hamilton Huskies,4,1
Oct 03,6:15 PM,2016,Gretzky Center (#3),Brantford 99ers,Kitchener Jr Rangers,2,2
Oct 04,6:30 PM,2016,Western Fair (Harvey's),London Jr Knights,Elgin-Middlesex Chiefs,6,1
Oct 07,7:00 PM,2016,Activa (PJD),Kitchener Jr Rangers,Huron-Perth Lakers,2,2
Oct 07,7:00 PM,2016,Essex (Shaheen),Sun County Panthers,Chatham-Kent Cyclones,4,3
Oct 08,3:00 PM,2016,Sarnia PASA (Rink 1),Lambton Jr Sting,Windsor Jr Spitfires,4,3
Oct 08,3:15 PM,2016,Komoka CW&RC (1 - Molson),Elgin-Middlesex Chiefs,Hamilton Huskies,2,4
Oct 08,4:00 PM,2016,Rotary Complex (RBC),Huron-Perth Lakers,Waterloo Wolves,2,3
Oct 09,12:00 PM,2016,RIM Park (Pillers),Waterloo Wolves,Lambton Jr Sting,6,4
Oct 09,1:00 PM,2016,Activa (PJD),Kitchener Jr Rangers,Hamilton Huskies,3,2
Oct 09,2:45 PM,2016,Komoka CW&RC (1 - Molson),Elgin-Middlesex Chiefs,Windsor Jr Spitfires,3,2
Oct 09,6:30 PM,2016,Nichols (A),London Jr Knights,Windsor Jr Spitfires,4,2
Oct 12,7:00 PM,2016,Gretzky Center (#1),Brantford 99ers,Hamilton Huskies,2,2
