Sep 14,6:30 PM,Leisureplex (Jaycee),Southern Tier Admirals,Hamilton Jr Bulldogs,1,5
Sep 14,6:45 PM,South Courtice (A),Clarington Toros,Central Ontario Wolves,5,2
Sep 16,6:00 PM,Rickard (A),Clarington Toros,North Central Predators,4,1
Sep 17,1:00 PM,St. Andrews College,York-Simcoe Express,Richmond Hill Coyotes,5,0
Sep 17,1:30 PM,Holiday (2),Buffalo Regals,Southern Tier Admirals,3,5
Sep 17,3:15 PM,WERC (2),Guelph Gryphons,Oakville Rangers,5,0
Sep 17,3:45 PM,IPSC (2),Whitby Wildcats,Peterborough Petes,15,0
Sep 17,5:30 PM,INVISTA (FL),Kingston Jr Frontenacs,Oshawa Generals,5,7
Sep 17,6:00 PM,Centennial,Markham Waxers,Quinte Red Devils,6,0
Sep 18,12:00 PM,Rickard (A),Clarington Toros,Kingston Jr Frontenacs,9,3
Sep 18,1:30 PM,Molson Centre,Barrie Jr Colts,Markham Waxers,2,4
Sep 18,1:30 PM,Erin,Halton Hurricanes,Buffalo Regals,6,2
Sep 18,1:35 PM,Earnscliffe (2),Brampton 45s,Niagara North Stars,1,3
Sep 18,2:30 PM,St. Andrews College,York-Simcoe Express,North Central Predators,5,3
Sep 18,4:15 PM,McKinney (1),Whitby Wildcats,Quinte Red Devils,2,2
Sep 19,6:30 PM,Mohawk (Cogeco),Hamilton Jr Bulldogs,Oakville Rangers,3,4
Sep 20,6:30 PM,Fenelon Falls,Central Ontario Wolves,Oshawa Generals,1,7
Sep 21,6:30 PM,Leisureplex (Jaycee),Southern Tier Admirals,Guelph Gryphons,4,2
Sep 21,7:00 PM,Don Beer (2),Ajax-Pickering Raiders,York-Simcoe Express,1,3
Sep 21,7:00 PM,Central,Burlington Eagles,Buffalo Regals,4,2
Sep 22,6:20 PM,Joshua Creek (Red),Oakville Rangers,Niagara North Stars,4,6
Sep 24,11:00 AM,INVISTA (FL),Kingston Jr Frontenacs,Ajax-Pickering Raiders,6,4
Sep 24,1:15 PM,WERC (2),Guelph Gryphons,Brampton 45s,2,1
Sep 24,1:30 PM,Evinrude (Atom),Peterborough Petes,Richmond Hill Coyotes,0,2
Sep 24,1:30 PM,Holiday (1),Buffalo Regals,Hamilton Jr Bulldogs,6,3
Sep 24,1:45 PM,S-H SEC (Sportsplex) (4),Niagara North Stars,Halton Hurricanes,0,1
Sep 24,4:00 PM,Fenelon Falls,Central Ontario Wolves,Barrie Jr Colts,3,4
Sep 24,6:00 PM,Centennial,Markham Waxers,North Central Predators,9,3
Sep 25,12:00 PM,Elgin Barrow (East),Richmond Hill Coyotes,North Central Predators,3,1
Sep 25,1:30 PM,Erin,Halton Hurricanes,Southern Tier Admirals,5,0
Sep 25,2:30 PM,St. Andrews College,York-Simcoe Express,Kingston Jr Frontenacs,2,2
Sep 25,3:00 PM,Little Britain,Central Ontario Wolves,Whitby Wildcats,0,2
Sep 26,6:30 PM,Mohawk (Cogeco),Hamilton Jr Bulldogs,Brampton 45s,2,5
Sep 26,6:30 PM,Centennial,Guelph Gryphons,Niagara North Stars,3,5
Sep 27,7:00 PM,St. Andrews College,York-Simcoe Express,Barrie Jr Colts,3,1
Sep 28,7:00 PM,Central,Burlington Eagles,Southern Tier Admirals,1,4
