Sep 12,7:00 PM,WERC (1),Guelph Gryphons,Brampton 45s,7,3
Sep 15,8:15 PM,Quinte S & WC (FDC),Quinte Red Devils,Oshawa Generals,4,3
Sep 15,9:00 PM,Appleby (2),Burlington Eagles,Niagara North Stars,3,0
Sep 16,8:30 PM,St. Andrews College,York-Simcoe Express,Markham Waxers,18,0
Sep 17,12:00 PM,Chesley,Grey-Bruce Highlanders,Niagara North Stars,1,5
Sep 17,3:45 PM,Rickard (B),Clarington Toros,Richmond Hill Coyotes,3,4
Sep 17,4:00 PM,Chesley,Grey-Bruce Highlanders,Niagara North Stars,0,2
Sep 17,4:05 PM,Cayuga,Southern Tier Admirals,Oakville Rangers,2,2
Sep 17,6:30 PM,Allandale Rec (Blue),Barrie Jr Colts,North Central Predators,2,2
Sep 17,7:00 PM,Don Beer (2),Ajax-Pickering Raiders,Markham Waxers,5,2
Sep 17,7:00 PM,INVISTA (FL),Kingston Jr Frontenacs,York-Simcoe Express,2,6
Sep 18,12:10 PM,Powerade (RBC),Halton Hurricanes,Grey-Bruce Highlanders,1,2
Sep 18,2:45 PM,Rama,North Central Predators,Peterborough Petes,0,3
Sep 18,7:00 PM,Gateway (1),Hamilton Jr Bulldogs,Southern Tier Admirals,0,2
Sep 18,8:00 PM,Brighton,Quinte Red Devils,Ajax-Pickering Raiders,4,3
Sep 19,7:00 PM,Angus Glen (1 - West),Markham Waxers,Richmond Hill Coyotes,1,3
Sep 19,8:00 PM,Campus (1),Oshawa Generals,Central Ontario Wolves,0,9
Sep 19,8:30 PM,Mainway (A),Burlington Eagles,Southern Tier Admirals,1,2
Sep 19,8:45 PM,WERC (1),Guelph Gryphons,Halton Hurricanes,1,4
Sep 21,9:00 PM,Evinrude (Atom),Peterborough Petes,Markham Waxers,7,2
Sep 22,7:15 PM,Lindsay Rec (2),Central Ontario Wolves,Whitby Wildcats,1,4
