Sep 10,4:00 PM,INVISTA (FL),Kingston Jr Frontenacs,Clarington Toros,2,3
Sep 11,12:00 PM,Rickard (A),Clarington Toros,Kingston Jr Frontenacs,4,2
Sep 13,6:30 PM,Mohawk (Cogeco),Hamilton Jr Bulldogs,Southern Tier Admirals,5,4
Sep 14,6:40 PM,River Oaks (B),Oakville Rangers,Brampton 45s,4,1
Sep 16,7:00 PM,Rama,North Central Predators,Richmond Hill Coyotes,6,2
Sep 17,1:00 PM,Vale (1),Southern Tier Admirals,Buffalo Regals,10,0
Sep 17,2:00 PM,Rama,North Central Predators,Peterborough Petes,2,3
Sep 17,2:15 PM,IPSC (2),Whitby Wildcats,Quinte Red Devils,3,1
Sep 17,2:15 PM,WERC (2),Guelph Gryphons,Oakville Rangers,5,2
Sep 17,3:30 PM,Allandale Rec (Red),Barrie Jr Colts,Oshawa Generals,8,2
Sep 17,5:30 PM,Terry Miller,Brampton 45s,Halton Hurricanes,0,6
Sep 17,5:45 PM,Lindsay Rec (2),Central Ontario Wolves,Richmond Hill Coyotes,3,4
Sep 17,6:00 PM,Village,Markham Waxers,Ajax-Pickering Raiders,5,0
Sep 18,12:30 PM,Deseronto,Quinte Red Devils,Richmond Hill Coyotes,5,3
Sep 18,1:30 PM,Holiday (1),Buffalo Regals,Guelph Gryphons,2,4
Sep 18,2:30 PM,Ajax CC (3),Ajax-Pickering Raiders,Markham Waxers,4,6
Sep 18,4:30 PM,Little Britain,Central Ontario Wolves,North Central Predators,1,1
Sep 18,5:30 PM,Evinrude (Atom),Peterborough Petes,Whitby Wildcats,2,2
Sep 19,6:30 PM,Mainway (B),Burlington Eagles,Niagara North Stars,1,3
Sep 20,6:30 PM,Mohawk (Cogeco),Hamilton Jr Bulldogs,Buffalo Regals,2,1
Sep 21,6:30 PM,Joshua Creek (Red),Oakville Rangers,Halton Hurricanes,0,4
Sep 22,7:15 PM,Mainway (A),Burlington Eagles,Hamilton Jr Bulldogs,3,3
Sep 24,11:00 AM,INVISTA (Rona),Kingston Jr Frontenacs,Peterborough Petes,2,3
Sep 24,1:00 PM,Vale (1),Southern Tier Admirals,Guelph Gryphons,8,1
