Sep 11,4:15 PM,Legends (4),Oshawa Generals,Richmond Hill Coyotes,7,0
Sep 15,6:30 PM,Mohawk (Cogeco),Hamilton Jr Bulldogs,Southern Tier Admirals,5,2
Sep 17,1:30 PM,Cayuga,Southern Tier Admirals,Oakville Rangers,4,7
Sep 17,1:50 PM,Terry Miller,Brampton 45s,Buffalo Regals,1,10
Sep 17,2:00 PM,Allandale Rec (Red),Barrie Jr Colts,Peterborough Petes,6,2
Sep 17,2:00 PM,Strathcona (1 - Goodyear),Quinte Red Devils,Richmond Hill Coyotes,10,2
Sep 17,5:00 PM,Erin,Halton Hurricanes,Niagara North Stars,4,4
Sep 18,12:00 PM,Leisureplex (Jaycee),Buffalo Regals,Niagara North Stars,3,5
Sep 18,3:00 PM,Little Britain,Central Ontario Wolves,Whitby Wildcats,4,6
Sep 18,3:45 PM,Appleby (2),Burlington Eagles,Halton Hurricanes,8,6
Sep 18,4:00 PM,Evinrude (Atom),Peterborough Petes,Barrie Jr Colts,3,5
Sep 18,4:00 PM,Strathcona (1 - Goodyear),Quinte Red Devils,Clarington Toros,1,2
Sep 21,7:00 PM,Welland (Youth),Southern Tier Admirals,Halton Hurricanes,5,6
Sep 22,6:30 PM,Mohawk (Cogeco),Hamilton Jr Bulldogs,Oakville Rangers,2,3
Sep 23,6:00 PM,Rickard (A),Clarington Toros,Whitby Wildcats,2,6
Sep 23,6:20 PM,Joshua Creek (Red),Oakville Rangers,Buffalo Regals,2,11
Sep 23,6:30 PM,Campus (1),Oshawa Generals,Quinte Red Devils,4,4
Sep 24,12:00 PM,Evinrude (Atom),Peterborough Petes,Clarington Toros,2,2
Sep 24,12:15 PM,S-H SEC (Sportsplex) (4),Niagara North Stars,Southern Tier Admirals,3,4
Sep 24,2:00 PM,Don Beer (2),Ajax-Pickering Raiders,Oshawa Generals,1,3
Sep 24,2:00 PM,Elgin Barrow (East),Richmond Hill Coyotes,Quinte Red Devils,0,8
Sep 24,3:30 PM,Jim Archdekin,Brampton 45s,Burlington Eagles,3,6
Sep 24,4:15 PM,Lindsay Rec (2),Central Ontario Wolves,York-Simcoe Express,6,3
Sep 24,5:30 PM,Leisureplex (Jaycee),Buffalo Regals,Halton Hurricanes,4,1
Sep 25,12:00 PM,Elvis Stojko,Richmond Hill Coyotes,Clarington Toros,1,12
Sep 25,12:00 PM,Leisureplex (Jaycee),Buffalo Regals,Halton Hurricanes,6,4
Sep 25,12:00 PM,Village,Markham Waxers,Peterborough Petes,1,7
Sep 25,12:30 PM,Appleby (2),Burlington Eagles,Niagara North Stars,7,0
Sep 25,1:00 PM,St. Andrews College,York-Simcoe Express,Oshawa Generals,0,5
Sep 25,1:00 PM,Holly Rec (Rink 2),Barrie Jr Colts,Quinte Red Devils,2,3
Sep 25,4:00 PM,Jim Archdekin,Brampton 45s,Southern Tier Admirals,0,3
Sep 29,6:30 PM,Mohawk (Cogeco),Hamilton Jr Bulldogs,Brampton 45s,7,0
Sep 30,6:20 PM,Joshua Creek (Red),Oakville Rangers,Burlington Eagles,3,7
Sep 30,7:10 PM,East Bayfield (Green),Barrie Jr Colts,Ajax-Pickering Raiders,5,2
Oct 01,1:30 PM,CCC (Bowl),Quinte Red Devils,Barrie Jr Colts,0,4
Oct 01,1:30 PM,S-H SEC (Sportsplex) (3),Niagara North Stars,Oakville Rangers,5,6
Oct 01,2:00 PM,Elgin Barrow (East),Richmond Hill Coyotes,Oshawa Generals,1,9
Oct 01,5:00 PM,Erin,Halton Hurricanes,Southern Tier Admirals,4,3
Oct 01,5:00 PM,Milliken Mills,Markham Waxers,York-Simcoe Express,12,0
Oct 01,5:30 PM,Leisureplex (Jaycee),Buffalo Regals,Brampton 45s,8,0
Oct 02,12:00 PM,Evinrude (Atom),Peterborough Petes,Ajax-Pickering Raiders,6,1
Oct 02,12:30 PM,Campus (1),Oshawa Generals,York-Simcoe Express,1,4
Oct 02,4:00 PM,Strathcona (1 - Goodyear),Quinte Red Devils,Central Ontario Wolves,1,6
Oct 02,5:30 PM,Holly Rec (Rink 2),Barrie Jr Colts,Richmond Hill Coyotes,11,2
Oct 02,6:30 PM,Mainway (B),Burlington Eagles,Hamilton Jr Bulldogs,2,3
Oct 03,7:00 PM,Jim Archdekin,Brampton 45s,Halton Hurricanes,2,13
Oct 04,6:20 PM,Joshua Creek (Red),Oakville Rangers,Niagara North Stars,2,10
Oct 05,7:00 PM,Welland (Youth),Southern Tier Admirals,Burlington Eagles,2,2
