Sep 14,6:45 PM,2016,South Courtice (A),Clarington Toros,Central Ontario Wolves,5,2
Sep 16,6:00 PM,2016,Rickard (A),Clarington Toros,North Central Predators,4,1
Sep 17,1:00 PM,2016,St. Andrews College,York-Simcoe Express,Richmond Hill Coyotes,5,0
Sep 17,3:45 PM,2016,IPSC (2),Whitby Wildcats,Peterborough Petes,15,0
Sep 17,5:30 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Oshawa Generals,5,7
Sep 17,6:00 PM,2016,Centennial,Markham Waxers,Quinte Red Devils,6,0
Sep 18,12:00 PM,2016,Rickard (A),Clarington Toros,Kingston Jr Frontenacs,9,3
Sep 18,1:30 PM,2016,Molson Centre,Barrie Jr Colts,Markham Waxers,2,4
Sep 18,2:30 PM,2016,St. Andrews College,York-Simcoe Express,North Central Predators,5,3
Sep 18,4:15 PM,2016,McKinney (1),Whitby Wildcats,Quinte Red Devils,2,2
Sep 20,6:30 PM,2016,Fenelon Falls,Central Ontario Wolves,Oshawa Generals,1,7
Sep 21,7:00 PM,2016,Don Beer (2),Ajax-Pickering Raiders,York-Simcoe Express,1,3
Sep 24,11:00 AM,2016,INVISTA (FL),Kingston Jr Frontenacs,Ajax-Pickering Raiders,6,4
Sep 24,1:30 PM,2016,Evinrude (Atom),Peterborough Petes,Richmond Hill Coyotes,0,2
Sep 24,4:00 PM,2016,Fenelon Falls,Central Ontario Wolves,Barrie Jr Colts,3,4
Sep 24,6:00 PM,2016,Centennial,Markham Waxers,North Central Predators,9,3
Sep 25,12:00 PM,2016,Elgin Barrow (East),Richmond Hill Coyotes,North Central Predators,3,1
Sep 25,2:30 PM,2016,St. Andrews College,York-Simcoe Express,Kingston Jr Frontenacs,2,2
Sep 25,3:00 PM,2016,Little Britain,Central Ontario Wolves,Whitby Wildcats,0,2
Sep 27,7:00 PM,2016,St. Andrews College,York-Simcoe Express,Barrie Jr Colts,3,1
Sep 29,6:30 PM,2016,IPSC (2),Whitby Wildcats,Clarington Toros,3,4
Sep 30,6:00 PM,2016,Rickard (A),Clarington Toros,Quinte Red Devils,3,1
Sep 30,6:45 PM,2016,Campus (2),Oshawa Generals,Kingston Jr Frontenacs,6,5
Oct 01,1:30 PM,2016,Evinrude (Atom),Peterborough Petes,Central Ontario Wolves,3,1
Oct 01,2:00 PM,2016,Rama,North Central Predators,Richmond Hill Coyotes,3,3
Oct 01,4:00 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Quinte Red Devils,1,2
Oct 02,12:45 PM,2016,Legends (3),Oshawa Generals,Quinte Red Devils,0,4
Oct 02,1:15 PM,2016,Rickard (A),Clarington Toros,Richmond Hill Coyotes,4,3
Oct 02,3:00 PM,2016,Little Britain,Central Ontario Wolves,Kingston Jr Frontenacs,0,6
Oct 03,6:30 PM,2016,Campus (1),Oshawa Generals,Clarington Toros,4,4
Oct 03,7:10 PM,2016,Rama,North Central Predators,Central Ontario Wolves,3,4
Oct 05,6:45 PM,2016,IPSC (3),Whitby Wildcats,Barrie Jr Colts,1,1
Oct 08,3:00 PM,2016,Marmora Arena,Quinte Red Devils,Ajax-Pickering Raiders,6,1
Oct 08,3:30 PM,2016,Innisfil Rec (Red),Barrie Jr Colts,Kingston Jr Frontenacs,6,4
Oct 08,3:30 PM,2016,Elgin Barrow (East),Richmond Hill Coyotes,Peterborough Petes,4,3
Oct 08,3:45 PM,2016,Rama,North Central Predators,York-Simcoe Express,3,5
Oct 08,6:00 PM,2016,Centennial,Markham Waxers,Central Ontario Wolves,7,0
Oct 09,1:00 PM,2016,Rama,North Central Predators,Kingston Jr Frontenacs,6,2
Oct 09,1:30 PM,2016,Madoc,Quinte Red Devils,Oshawa Generals,5,2
Oct 09,2:30 PM,2016,St. Andrews College,York-Simcoe Express,Markham Waxers,4,2
