Sep 17,2:00 PM,2016,Deseronto,Quinte Red Devils,Central Ontario Wolves,2,2
Sep 17,4:30 PM,2016,Don Beer (3),Ajax-Pickering Raiders,North Central Predators,4,3
Sep 18,4:00 PM,2016,IPSC (3),Whitby Wildcats,Quinte Red Devils,3,9
Sep 18,4:15 PM,2016,Rickard (A),Clarington Toros,Central Ontario Wolves,0,1
Sep 18,7:00 PM,2016,Norwood Arena,Peterborough Petes,Kingston Jr Frontenacs,2,2
Sep 18,8:00 PM,2016,Village,Markham Waxers,Barrie Jr Colts,1,0
Sep 20,7:00 PM,2016,Scugog (1),Central Ontario Wolves,Whitby Wildcats,4,1
Sep 20,9:00 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Clarington Toros,3,2
Sep 25,3:00 PM,2016,Deseronto,Quinte Red Devils,Kingston Jr Frontenacs,4,1
Sep 27,7:00 PM,2016,Scugog (1),Central Ontario Wolves,Clarington Toros,2,1
Sep 27,9:00 PM,2016,IPSC (1),Whitby Wildcats,Kingston Jr Frontenacs,3,5
Sep 30,8:30 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Whitby Wildcats,6,2
Sep 30,8:45 PM,2016,Rickard (A),Clarington Toros,Quinte Red Devils,3,2
Oct 01,5:00 PM,2016,Don Beer (2),Ajax-Pickering Raiders,Central Ontario Wolves,2,1
Oct 01,5:30 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Richmond Hill Coyotes,4,5
Oct 01,7:30 PM,2016,Rama,North Central Predators,Clarington Toros,1,3
Oct 02,4:00 PM,2016,St. Andrews College,York-Simcoe Express,Central Ontario Wolves,1,3
Oct 02,4:30 PM,2016,Rama,North Central Predators,Whitby Wildcats,6,4
Oct 02,5:00 PM,2016,Elvis Stojko,Richmond Hill Coyotes,Quinte Red Devils,1,3
Oct 04,7:00 PM,2016,Scugog (1),Central Ontario Wolves,North Central Predators,5,2
Oct 06,7:00 PM,2016,Scugog (1),Central Ontario Wolves,Ajax-Pickering Raiders,2,2
Oct 06,8:30 PM,2016,Holly Rec (Rink 1),Barrie Jr Colts,Richmond Hill Coyotes,2,4
Oct 07,7:00 PM,2016,Rama,North Central Predators,Markham Waxers,2,5
Oct 07,8:45 PM,2016,Rickard (A),Clarington Toros,Kingston Jr Frontenacs,3,1
Oct 08,2:00 PM,2016,Deseronto,Quinte Red Devils,Clarington Toros,2,5
Oct 08,4:00 PM,2016,Pickering (Delaney),Ajax-Pickering Raiders,North Central Predators,2,1
Oct 08,7:00 PM,2016,Innisfil Rec (Red),Barrie Jr Colts,Kingston Jr Frontenacs,3,3
Oct 09,2:45 PM,2016,Rama,North Central Predators,Kingston Jr Frontenacs,1,4
Oct 09,4:15 PM,2016,Rickard (A),Clarington Toros,Peterborough Petes,5,0
Oct 09,4:30 PM,2016,Village,Markham Waxers,Central Ontario Wolves,3,0
Oct 11,7:00 PM,2016,Scugog (1),Central Ontario Wolves,Quinte Red Devils,1,2
Oct 11,9:00 PM,2016,IPSC (1),Whitby Wildcats,Peterborough Petes,3,0
Oct 19,9:00 PM,2016,Elgin Barrow (East),Richmond Hill Coyotes,Ajax-Pickering Raiders,4,3
Oct 20,8:30 PM,2016,Holly Rec (Rink 1),Barrie Jr Colts,North Central Predators,1,2
Oct 20,9:00 PM,2016,St. Andrews College,York-Simcoe Express,Markham Waxers,1,2
Oct 22,2:00 PM,2016,Deseronto,Quinte Red Devils,York-Simcoe Express,6,3
Oct 22,7:00 PM,2016,Innisfil Rec (Red),Barrie Jr Colts,Markham Waxers,1,4
Oct 22,7:00 PM,2016,Elgin Barrow (East),Richmond Hill Coyotes,Kingston Jr Frontenacs,1,2
Oct 23,4:30 PM,2016,Rama,North Central Predators,Ajax-Pickering Raiders,2,9
Oct 23,6:00 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,York-Simcoe Express,3,1
Oct 23,7:00 PM,2016,Elvis Stojko,Richmond Hill Coyotes,Peterborough Petes,4,4
Oct 23,8:00 PM,2016,Village,Markham Waxers,Quinte Red Devils,3,3
Oct 25,8:30 PM,2016,Elvis Stojko,Richmond Hill Coyotes,Clarington Toros,2,4
Oct 27,6:30 PM,2016,Holly Rec (Rink 1),Barrie Jr Colts,Markham Waxers,1,6
Oct 28,8:45 PM,2016,Rickard (A),Clarington Toros,Whitby Wildcats,4,1
Oct 29,12:00 PM,2016,IPSC (1),Whitby Wildcats,York-Simcoe Express,1,5
Oct 29,4:00 PM,2016,Pickering (Delaney),Ajax-Pickering Raiders,Richmond Hill Coyotes,6,3
Oct 29,5:30 PM,2016,Rama,North Central Predators,Markham Waxers,3,5
Oct 29,7:30 PM,2016,CCC (Pond),Quinte Red Devils,Barrie Jr Colts,2,4
Oct 29,8:00 PM,2016,Memorial,Peterborough Petes,Central Ontario Wolves,3,7
Oct 30,4:00 PM,2016,St. Andrews College,York-Simcoe Express,North Central Predators,4,3
Oct 30,5:00 PM,2016,Evinrude (Atom),Peterborough Petes,Richmond Hill Coyotes,3,3
Oct 30,5:30 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Barrie Jr Colts,1,2
Oct 30,8:00 PM,2016,Village,Markham Waxers,Whitby Wildcats,4,1
Nov 01,7:00 PM,2016,Scugog (1),Central Ontario Wolves,Clarington Toros,1,1
Nov 03,8:30 PM,2016,Holly Rec (Rink 1),Barrie Jr Colts,Central Ontario Wolves,2,3
Nov 04,9:00 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Markham Waxers,1,3
Nov 05,2:00 PM,2016,Deseronto,Quinte Red Devils,Markham Waxers,3,0
Nov 05,7:00 PM,2016,IPSC (1),Whitby Wildcats,Barrie Jr Colts,2,2
