Sep 10,4:00 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Clarington Toros,2,3
Sep 11,12:00 PM,2016,Rickard (A),Clarington Toros,Kingston Jr Frontenacs,4,2
Sep 16,7:00 PM,2016,Rama,North Central Predators,Richmond Hill Coyotes,6,2
Sep 17,2:00 PM,2016,Rama,North Central Predators,Peterborough Petes,2,3
Sep 17,2:15 PM,2016,IPSC (2),Whitby Wildcats,Quinte Red Devils,3,1
Sep 17,3:30 PM,2016,Allandale Rec (Red),Barrie Jr Colts,Oshawa Generals,8,2
Sep 17,5:45 PM,2016,Lindsay Rec (2),Central Ontario Wolves,Richmond Hill Coyotes,3,4
Sep 17,6:00 PM,2016,Village,Markham Waxers,Ajax-Pickering Raiders,5,0
Sep 18,12:30 PM,2016,Deseronto,Quinte Red Devils,Richmond Hill Coyotes,5,3
Sep 18,2:30 PM,2016,Ajax CC (3),Ajax-Pickering Raiders,Markham Waxers,4,6
Sep 18,4:30 PM,2016,Little Britain,Central Ontario Wolves,North Central Predators,1,1
Sep 18,5:30 PM,2016,Evinrude (Atom),Peterborough Petes,Whitby Wildcats,2,2
Sep 24,11:00 AM,2016,INVISTA (Transit),Kingston Jr Frontenacs,Peterborough Petes,2,3
Sep 24,1:00 PM,2016,St. Andrews College,York-Simcoe Express,Central Ontario Wolves,4,0
Sep 24,3:30 PM,2016,Elgin Barrow (East),Richmond Hill Coyotes,Ajax-Pickering Raiders,5,2
Sep 24,6:00 PM,2016,Village,Markham Waxers,Quinte Red Devils,2,1
Sep 25,12:00 PM,2016,Rickard (A),Clarington Toros,Richmond Hill Coyotes,4,2
Sep 25,12:00 PM,2016,Evinrude (Atom),Peterborough Petes,Central Ontario Wolves,1,4
Sep 25,12:30 PM,2016,Deseronto,Quinte Red Devils,Markham Waxers,6,2
Sep 25,2:30 PM,2016,Ajax CC (3),Ajax-Pickering Raiders,York-Simcoe Express,3,8
Sep 27,6:00 PM,2016,Rama,North Central Predators,Barrie Jr Colts,1,3
Sep 28,6:15 PM,2016,Quinte S & WC (FDC),Quinte Red Devils,Kingston Jr Frontenacs,4,1
Sep 28,6:45 PM,2016,Legends (4),Oshawa Generals,Richmond Hill Coyotes,2,6
Oct 01,12:00 PM,2016,IPSC (1),Whitby Wildcats,Kingston Jr Frontenacs,0,5
Oct 01,2:00 PM,2016,Legends (1),Oshawa Generals,Central Ontario Wolves,1,3
Oct 01,4:30 PM,2016,Ajax CC (4),Ajax-Pickering Raiders,Kingston Jr Frontenacs,2,4
Oct 01,6:00 PM,2016,Village,Markham Waxers,Barrie Jr Colts,3,3
Oct 02,12:00 PM,2016,Elvis Stojko,Richmond Hill Coyotes,Whitby Wildcats,4,6
Oct 02,12:30 PM,2016,Deseronto,Quinte Red Devils,Oshawa Generals,2,4
Oct 02,3:45 PM,2016,Cataraqui (Cataraui),Kingston Jr Frontenacs,Central Ontario Wolves,3,1
Oct 02,4:00 PM,2016,Holly Rec (Rink 2),Barrie Jr Colts,Ajax-Pickering Raiders,5,3
Oct 04,5:30 PM,2016,Ajax CC (3),Ajax-Pickering Raiders,Whitby Wildcats,4,1
Oct 04,6:30 PM,2016,Fenelon Falls,Central Ontario Wolves,Markham Waxers,1,1
Oct 06,7:00 PM,2016,Holly Rec (Rink 1),Barrie Jr Colts,York-Simcoe Express,1,1
Oct 07,6:00 PM,2016,Rickard (A),Clarington Toros,Central Ontario Wolves,5,6
Oct 07,6:30 PM,2016,Campus (1),Oshawa Generals,Kingston Jr Frontenacs,3,2
Oct 08,12:00 PM,2016,Douro,Peterborough Petes,Ajax-Pickering Raiders,6,0
Oct 08,1:00 PM,2016,St. Andrews College,York-Simcoe Express,Kingston Jr Frontenacs,1,0
Oct 08,2:00 PM,2016,Elgin Barrow (East),Richmond Hill Coyotes,Barrie Jr Colts,2,2
Oct 08,2:00 PM,2016,Rama,North Central Predators,Oshawa Generals,2,0
Oct 08,4:00 PM,2016,Fenelon Falls,Central Ontario Wolves,Quinte Red Devils,1,6
Oct 08,6:00 PM,2016,Village,Markham Waxers,Kingston Jr Frontenacs,0,2
Oct 09,12:00 PM,2016,Rickard (A),Clarington Toros,North Central Predators,0,2
Oct 09,12:30 PM,2016,Deseronto,Quinte Red Devils,Central Ontario Wolves,8,1
Oct 09,2:30 PM,2016,Ajax CC (3),Ajax-Pickering Raiders,Richmond Hill Coyotes,6,2
Oct 09,4:30 PM,2016,Evinrude (Atom),Peterborough Petes,York-Simcoe Express,2,3
Oct 10,7:00 PM,2016,Allandale Rec (Blue),Barrie Jr Colts,York-Simcoe Express,0,3
Oct 11,6:30 PM,2016,Deseronto,Quinte Red Devils,Peterborough Petes,3,3
Oct 12,6:45 PM,2016,Legends (4),Oshawa Generals,Whitby Wildcats,2,5
Oct 12,7:00 PM,2016,Bond Lake,Richmond Hill Coyotes,York-Simcoe Express,1,5
Oct 14,6:15 PM,2016,Innisfil Rec (Red),Barrie Jr Colts,Ajax-Pickering Raiders,7,0
Oct 15,10:00 AM,2016,St. Andrews College,York-Simcoe Express,Quinte Red Devils,3,2
Oct 15,12:00 PM,2016,Douro,Peterborough Petes,Barrie Jr Colts,1,1
Oct 15,2:00 PM,2016,Fenelon Falls,Central Ontario Wolves,Clarington Toros,0,7
Oct 15,2:00 PM,2016,Rama,North Central Predators,Ajax-Pickering Raiders,4,2
Oct 15,4:00 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Oshawa Generals,3,2
Oct 15,6:00 PM,2016,Village,Markham Waxers,Whitby Wildcats,4,3
Oct 16,1:30 PM,2016,Elgin Barrow (East),Richmond Hill Coyotes,North Central Predators,2,2
Oct 16,2:00 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Markham Waxers,3,2
Oct 16,2:30 PM,2016,Ajax CC (3),Ajax-Pickering Raiders,York-Simcoe Express,1,4
Oct 16,3:15 PM,2016,IPSC (4),Whitby Wildcats,Peterborough Petes,5,2
Oct 16,4:00 PM,2016,Strathcona (1 - Goodyear),Quinte Red Devils,Oshawa Generals,2,1
Oct 16,4:00 PM,2016,Holly Rec (Rink 2),Barrie Jr Colts,Central Ontario Wolves,7,1
Oct 18,6:00 PM,2016,Ajax CC (4),Ajax-Pickering Raiders,Barrie Jr Colts,1,4
Oct 19,7:00 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Quinte Red Devils,2,4
Oct 21,6:00 PM,2016,St. Andrews College,York-Simcoe Express,Markham Waxers,6,1
Oct 22,1:30 PM,2016,Evinrude (Atom),Peterborough Petes,North Central Predators,3,5
Oct 22,2:00 PM,2016,Innisfil Rec (Red),Barrie Jr Colts,Kingston Jr Frontenacs,3,2
Oct 22,2:30 PM,2016,McKinney (2),Whitby Wildcats,Central Ontario Wolves,6,3
Oct 22,2:30 PM,2016,Rickard (B),Clarington Toros,Quinte Red Devils,2,1
Oct 22,3:00 PM,2016,St. Andrews College,York-Simcoe Express,Oshawa Generals,4,0
Oct 23,12:00 PM,2016,IPSC (5),Whitby Wildcats,Oshawa Generals,6,1
Oct 23,1:00 PM,2016,Rama,North Central Predators,Kingston Jr Frontenacs,0,2
Oct 23,4:00 PM,2016,Holly Rec (Rink 2),Barrie Jr Colts,Markham Waxers,3,2
Oct 23,6:00 PM,2016,Woodville/Eldon,Central Ontario Wolves,Ajax-Pickering Raiders,3,5
Oct 25,6:15 PM,2016,IPSC (1),Whitby Wildcats,Clarington Toros,0,2
Oct 28,6:00 PM,2016,Rickard (A),Clarington Toros,Kingston Jr Frontenacs,7,1
Oct 28,6:30 PM,2016,Evinrude (Atom),Peterborough Petes,Oshawa Generals,3,1
Oct 28,7:00 PM,2016,St. Andrews College,York-Simcoe Express,Barrie Jr Colts,2,3
Oct 29,1:30 PM,2016,Evinrude (Atom),Peterborough Petes,Clarington Toros,2,2
Oct 29,2:00 PM,2016,Elgin Barrow (East),Richmond Hill Coyotes,Central Ontario Wolves,6,2
Oct 29,2:15 PM,2016,IPSC (4),Whitby Wildcats,York-Simcoe Express,1,5
Oct 29,4:00 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Barrie Jr Colts,2,5
Oct 29,6:00 PM,2016,Village,Markham Waxers,North Central Predators,2,1
Oct 29,6:00 PM,2016,Ajax CC (4),Ajax-Pickering Raiders,Quinte Red Devils,3,2
Oct 30,12:00 PM,2016,Evinrude (Atom),Peterborough Petes,Markham Waxers,3,3
Oct 30,12:45 PM,2016,Legends (3),Oshawa Generals,York-Simcoe Express,0,7
Oct 30,2:30 PM,2016,Ajax CC (3),Ajax-Pickering Raiders,North Central Predators,2,3
Oct 30,3:00 PM,2016,Little Britain,Central Ontario Wolves,Kingston Jr Frontenacs,3,3
Oct 30,4:00 PM,2016,Stirling,Quinte Red Devils,Barrie Jr Colts,1,1
Nov 03,6:00 PM,2016,Rama,North Central Predators,Barrie Jr Colts,2,7
Nov 05,2:30 PM,2016,McKinney (2),Whitby Wildcats,Barrie Jr Colts,6,3
Nov 06,1:00 PM,2016,Rama,North Central Predators,Whitby Wildcats,6,3
Nov 06,1:30 PM,2016,Campus (1),Oshawa Generals,Ajax-Pickering Raiders,1,7
Nov 08,5:30 PM,2016,Elvis Stojko,Richmond Hill Coyotes,Markham Waxers,0,3
Nov 09,6:00 PM,2016,Darlington,Clarington Toros,York-Simcoe Express,1,3
Nov 09,6:45 PM,2016,Legends (4),Oshawa Generals,Whitby Wildcats,1,6
