Sep 16,7:15 PM,2016,Rickard (A),Clarington Toros,Oshawa Generals,1,1
Sep 16,7:30 PM,2016,Innisfil Rec (Gold),Barrie Jr Colts,Ajax-Pickering Raiders,7,4
Sep 17,1:00 PM,2016,North Simcoe SRC (Centennial),North Central Predators,Markham Waxers,3,8
Sep 17,2:00 PM,2016,Fenelon Falls,Central Ontario Wolves,Richmond Hill Coyotes,1,0
Sep 17,2:30 PM,2016,St. Andrews College,York-Simcoe Express,Peterborough Petes,4,6
Sep 18,2:30 PM,2016,Rickard (A),Clarington Toros,Quinte Red Devils,1,3
Sep 18,3:00 PM,2016,Molson Centre,Barrie Jr Colts,Peterborough Petes,4,2
Sep 18,3:30 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Richmond Hill Coyotes,1,2
Sep 18,6:00 PM,2016,Village,Markham Waxers,Oshawa Generals,3,0
Sep 18,7:00 PM,2016,Lindsay Rec (1),Central Ontario Wolves,York-Simcoe Express,1,4
Sep 20,7:30 PM,2016,Rama,North Central Predators,Barrie Jr Colts,3,2
Sep 20,8:30 PM,2016,Legends (1),Oshawa Generals,Ajax-Pickering Raiders,3,0
Sep 23,7:00 PM,2016,McKinney (2),Whitby Wildcats,Ajax-Pickering Raiders,3,1
Sep 23,8:30 PM,2016,Legends (1),Oshawa Generals,North Central Predators,2,5
Sep 24,2:30 PM,2016,St. Andrews College,York-Simcoe Express,Clarington Toros,3,1
Sep 24,2:45 PM,2016,INVISTA (Transit),Kingston Jr Frontenacs,Central Ontario Wolves,3,3
Sep 24,5:00 PM,2016,Allandale Rec (Blue),Barrie Jr Colts,Quinte Red Devils,3,6
Sep 24,5:30 PM,2016,Elvis Stojko,Richmond Hill Coyotes,Markham Waxers,4,0
Sep 25,4:00 PM,2016,St. Andrews College,York-Simcoe Express,Kingston Jr Frontenacs,1,0
Sep 25,4:30 PM,2016,Rama,North Central Predators,Quinte Red Devils,2,1
Sep 25,5:00 PM,2016,Elgin Barrow (East),Richmond Hill Coyotes,Peterborough Petes,4,0
Sep 25,5:30 PM,2016,Ajax CC (3),Ajax-Pickering Raiders,Central Ontario Wolves,0,3
Sep 25,6:00 PM,2016,Village,Markham Waxers,Barrie Jr Colts,2,5
Sep 27,8:30 PM,2016,Legends (1),Oshawa Generals,Whitby Wildcats,3,5
Sep 29,7:15 PM,2016,Lindsay Rec (2),Central Ontario Wolves,Peterborough Petes,1,1
Sep 30,7:00 PM,2016,McKinney (2),Whitby Wildcats,Kingston Jr Frontenacs,2,2
Sep 30,7:15 PM,2016,Rickard (A),Clarington Toros,Central Ontario Wolves,0,1
Sep 30,8:30 PM,2016,Ajax CC (3),Ajax-Pickering Raiders,Richmond Hill Coyotes,0,1
Oct 01,2:00 PM,2016,Strathcona (1 - Goodyear),Quinte Red Devils,Barrie Jr Colts,1,3
Oct 01,5:45 PM,2016,IPSC (4),Whitby Wildcats,North Central Predators,3,5
Oct 01,6:15 PM,2016,Evinrude (Atom),Peterborough Petes,Markham Waxers,4,5
Oct 02,2:00 PM,2016,Cataraqui (Cataraui),Kingston Jr Frontenacs,Barrie Jr Colts,1,1
Oct 02,3:00 PM,2016,Elvis Stojko,Richmond Hill Coyotes,Clarington Toros,6,0
Oct 02,5:30 PM,2016,Ajax CC (3),Ajax-Pickering Raiders,North Central Predators,4,6
Oct 02,6:00 PM,2016,Village,Markham Waxers,York-Simcoe Express,0,0
Oct 02,7:00 PM,2016,Lindsay Rec (1),Central Ontario Wolves,Quinte Red Devils,3,1
Oct 04,8:30 PM,2016,Legends (1),Oshawa Generals,Richmond Hill Coyotes,1,8
Oct 05,7:00 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Peterborough Petes,1,4
Oct 08,1:30 PM,2016,Douro,Peterborough Petes,Oshawa Generals,8,3
Oct 08,2:15 PM,2016,Quinte S & WC (FDC),Quinte Red Devils,Clarington Toros,3,1
Oct 08,7:15 PM,2016,Rama,North Central Predators,Richmond Hill Coyotes,1,2
Oct 09,5:30 PM,2016,Ajax CC (3),Ajax-Pickering Raiders,Peterborough Petes,4,9
Oct 09,7:10 PM,2016,Holly Rec (Rink 2),Barrie Jr Colts,Central Ontario Wolves,3,1
Oct 11,8:30 PM,2016,Legends (1),Oshawa Generals,Barrie Jr Colts,2,6
Oct 12,7:00 PM,2016,IPSC (3),Whitby Wildcats,Clarington Toros,2,1
Oct 14,7:00 PM,2016,Rama,North Central Predators,Markham Waxers,6,3
Oct 15,3:45 PM,2016,Rama,North Central Predators,Whitby Wildcats,3,2
Oct 15,4:00 PM,2016,St. Andrews College,York-Simcoe Express,Quinte Red Devils,4,3
Oct 15,5:00 PM,2016,Elgin Barrow (East),Richmond Hill Coyotes,Barrie Jr Colts,5,2
Oct 16,6:00 PM,2016,Village,Markham Waxers,Quinte Red Devils,1,3
Oct 16,6:00 PM,2016,IPSC (3),Whitby Wildcats,Richmond Hill Coyotes,7,4
Oct 18,8:30 PM,2016,Elvis Stojko,Richmond Hill Coyotes,York-Simcoe Express,5,1
Oct 18,8:30 PM,2016,Legends (1),Oshawa Generals,Whitby Wildcats,2,2
Oct 20,7:15 PM,2016,Lindsay Rec (2),Central Ontario Wolves,Whitby Wildcats,1,4
Oct 21,7:00 PM,2016,Ajax CC (4),Ajax-Pickering Raiders,Barrie Jr Colts,1,3
Oct 22,2:15 PM,2016,Quinte S & WC (FDC),Quinte Red Devils,Central Ontario Wolves,0,4
Oct 22,5:10 PM,2016,Innisfil Rec (Red),Barrie Jr Colts,Clarington Toros,1,2
Oct 22,5:45 PM,2016,Cataraqui (Kinsmen),Kingston Jr Frontenacs,York-Simcoe Express,2,3
Oct 22,6:00 PM,2016,Evinrude (Atom),Peterborough Petes,Ajax-Pickering Raiders,3,4
Oct 23,3:15 PM,2016,Evinrude (Atom),Peterborough Petes,Clarington Toros,0,4
