Sep 13,8:50 PM,2016,Rama,North Central Predators,Markham Waxers,4,1
Sep 15,8:00 PM,2016,Campus (1),Oshawa Generals,Peterborough Petes,0,3
Sep 16,8:45 PM,2016,Rickard (A),Clarington Toros,Kingston Jr Frontenacs,4,4
Sep 17,5:30 PM,2016,Rama,North Central Predators,Richmond Hill Coyotes,3,3
Sep 17,5:45 PM,2016,Quinte S & WC (FDC),Quinte Red Devils,Central Ontario Wolves,6,2
Sep 17,8:00 PM,2016,Memorial,Peterborough Petes,Ajax-Pickering Raiders,2,2
Sep 18,12:00 PM,2016,Quinte S & WC (Mackay),Quinte Red Devils,York-Simcoe Express,4,2
Sep 18,4:30 PM,2016,Rama,North Central Predators,Clarington Toros,5,2
Sep 18,5:15 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Richmond Hill Coyotes,2,6
Sep 18,5:30 PM,2016,Ajax CC (1),Ajax-Pickering Raiders,Markham Waxers,6,0
Sep 19,9:00 PM,2016,Angus Glen (1 - West),Markham Waxers,Peterborough Petes,3,6
Sep 20,8:00 PM,2016,Campus (1),Oshawa Generals,Kingston Jr Frontenacs,1,3
Sep 22,8:00 PM,2016,Campus (1),Oshawa Generals,North Central Predators,5,4
Sep 22,8:30 PM,2016,Lindsay Rec (1),Central Ontario Wolves,Whitby Wildcats,1,5
Sep 23,6:45 PM,2016,Innisfil Rec (Gold),Barrie Jr Colts,Whitby Wildcats,1,2
Sep 24,2:30 PM,2016,INVISTA (FL),Kingston Jr Frontenacs,Central Ontario Wolves,4,1
Sep 24,5:30 PM,2016,Rama,North Central Predators,Ajax-Pickering Raiders,1,1
Sep 24,7:00 PM,2016,Elgin Barrow (East),Richmond Hill Coyotes,Barrie Jr Colts,1,8
Sep 24,8:00 PM,2016,Evinrude (Atom),Peterborough Petes,Clarington Toros,2,2
Sep 24,9:15 PM,2016,Stouffville Clippers (CC2),Markham Waxers,Quinte Red Devils,3,3
Sep 25,4:15 PM,2016,Rickard (A),Clarington Toros,Quinte Red Devils,1,6
Sep 25,5:00 PM,2016,Evinrude (Atom),Peterborough Petes,Whitby Wildcats,2,11
Sep 25,6:00 PM,2016,St. Andrews College,York-Simcoe Express,Richmond Hill Coyotes,7,2
Sep 25,8:00 PM,2016,Holly Rec (Rink 2),Barrie Jr Colts,Oshawa Generals,4,2
Sep 26,9:00 PM,2016,Angus Glen (1 - West),Markham Waxers,Clarington Toros,4,3
Sep 28,9:00 PM,2016,Ajax CC (4),Ajax-Pickering Raiders,Richmond Hill Coyotes,6,1
Sep 28,9:15 PM,2016,Quinte S & WC (FDC),Quinte Red Devils,Peterborough Petes,9,4
Sep 29,8:00 PM,2016,Campus (1),Oshawa Generals,Clarington Toros,3,6
Sep 29,9:00 PM,2016,IPSC (1),Whitby Wildcats,Markham Waxers,5,0
Oct 01,5:00 PM,2016,Elgin Barrow (East),Richmond Hill Coyotes,Peterborough Petes,2,3
Oct 01,5:30 PM,2016,Rama,North Central Predators,Markham Waxers,0,3
Oct 01,7:00 PM,2016,IPSC (1),Whitby Wildcats,Quinte Red Devils,3,0
