Sep 11,4:15 PM,2016,Legends (4),Oshawa Generals,Richmond Hill Coyotes,7,0
Sep 17,2:00 PM,2016,Allandale Rec (Red),Barrie Jr Colts,Peterborough Petes,6,2
Sep 17,2:00 PM,2016,Strathcona (1 - Goodyear),Quinte Red Devils,Richmond Hill Coyotes,10,2
Sep 18,3:00 PM,2016,Little Britain,Central Ontario Wolves,Whitby Wildcats,4,6
Sep 18,4:00 PM,2016,Evinrude (Atom),Peterborough Petes,Barrie Jr Colts,3,5
Sep 18,4:00 PM,2016,Strathcona (1 - Goodyear),Quinte Red Devils,Clarington Toros,1,2
Sep 23,6:00 PM,2016,Rickard (A),Clarington Toros,Whitby Wildcats,2,6
Sep 23,6:30 PM,2016,Campus (1),Oshawa Generals,Quinte Red Devils,4,4
Sep 24,12:00 PM,2016,Evinrude (Atom),Peterborough Petes,Clarington Toros,2,2
Sep 24,2:00 PM,2016,Don Beer (2),Ajax-Pickering Raiders,Oshawa Generals,1,3
Sep 24,2:00 PM,2016,Elgin Barrow (East),Richmond Hill Coyotes,Quinte Red Devils,0,8
Sep 24,4:15 PM,2016,Lindsay Rec (2),Central Ontario Wolves,York-Simcoe Express,6,3
Sep 25,12:00 PM,2016,Elvis Stojko,Richmond Hill Coyotes,Clarington Toros,1,12
Sep 25,12:00 PM,2016,Village,Markham Waxers,Peterborough Petes,1,7
Sep 25,1:00 PM,2016,St. Andrews College,York-Simcoe Express,Oshawa Generals,0,5
Sep 25,1:00 PM,2016,Holly Rec (Rink 2),Barrie Jr Colts,Quinte Red Devils,2,3
Sep 30,7:10 PM,2016,East Bayfield (Green),Barrie Jr Colts,Ajax-Pickering Raiders,5,2
Oct 01,1:30 PM,2016,CCC (Bowl),Quinte Red Devils,Barrie Jr Colts,0,4
Oct 01,2:00 PM,2016,Elgin Barrow (East),Richmond Hill Coyotes,Oshawa Generals,1,9
Oct 01,5:00 PM,2016,Milliken Mills,Markham Waxers,York-Simcoe Express,12,0
Oct 02,12:00 PM,2016,Evinrude (Atom),Peterborough Petes,Ajax-Pickering Raiders,6,1
Oct 02,12:30 PM,2016,Campus (1),Oshawa Generals,York-Simcoe Express,1,4
Oct 02,4:00 PM,2016,Strathcona (1 - Goodyear),Quinte Red Devils,Central Ontario Wolves,1,6
Oct 02,5:30 PM,2016,Holly Rec (Rink 2),Barrie Jr Colts,Richmond Hill Coyotes,11,2
Oct 07,7:00 PM,2016,St. Andrews College,York-Simcoe Express,Barrie Jr Colts,3,4
Oct 08,1:30 PM,2016,CCC (Bowl),Quinte Red Devils,Oshawa Generals,6,3
Oct 08,2:00 PM,2016,Innisfil Rec (Red),Barrie Jr Colts,York-Simcoe Express,10,2
Oct 11,6:30 PM,2016,Don Beer (2),Ajax-Pickering Raiders,Markham Waxers,1,1
Oct 15,2:00 PM,2016,Strathcona (1 - Goodyear),Quinte Red Devils,York-Simcoe Express,2,2
Oct 15,2:00 PM,2016,Innisfil Rec (Red),Barrie Jr Colts,Clarington Toros,6,5
Oct 15,2:15 PM,2016,McKinney (1),Whitby Wildcats,Peterborough Petes,0,3
Oct 15,4:00 PM,2016,Don Beer (3),Ajax-Pickering Raiders,Richmond Hill Coyotes,3,0
Oct 16,12:00 PM,2016,Elvis Stojko,Richmond Hill Coyotes,Peterborough Petes,1,9
Oct 16,12:00 PM,2016,Village,Markham Waxers,Quinte Red Devils,3,1
Oct 16,3:00 PM,2016,St. Andrews College,York-Simcoe Express,Clarington Toros,1,6
Oct 16,4:30 PM,2016,Don Beer (2),Ajax-Pickering Raiders,Barrie Jr Colts,3,6
Oct 18,6:30 PM,2016,Don Beer (2),Ajax-Pickering Raiders,Clarington Toros,1,8
Oct 19,6:00 PM,2016,IPSC (1),Whitby Wildcats,Oshawa Generals,3,6
Oct 19,6:30 PM,2016,CCC (Pond),Quinte Red Devils,Peterborough Petes,1,1
Oct 21,6:00 PM,2016,Rickard (A),Clarington Toros,Oshawa Generals,3,2
Oct 22,12:00 PM,2016,Evinrude (Atom),Peterborough Petes,Markham Waxers,4,3
Oct 22,12:30 PM,2016,Elgin Barrow (East),Richmond Hill Coyotes,Barrie Jr Colts,1,10
Oct 22,4:00 PM,2016,Don Beer (3),Ajax-Pickering Raiders,York-Simcoe Express,2,2
Oct 22,4:15 PM,2016,Lindsay Rec (2),Central Ontario Wolves,Whitby Wildcats,8,3
Oct 23,12:00 PM,2016,Village,Markham Waxers,Clarington Toros,4,1
Oct 23,1:30 PM,2016,IPSC (5),Whitby Wildcats,Barrie Jr Colts,4,5
Oct 23,3:00 PM,2016,Little Britain,Central Ontario Wolves,Oshawa Generals,8,3
Oct 23,3:45 PM,2016,Don Beer (1),Ajax-Pickering Raiders,Quinte Red Devils,2,4
Oct 23,4:30 PM,2016,St. Andrews College,York-Simcoe Express,Peterborough Petes,2,3
Oct 26,7:00 PM,2016,Milliken Mills,Markham Waxers,Ajax-Pickering Raiders,3,1
Oct 28,6:45 PM,2016,Campus (2),Oshawa Generals,Quinte Red Devils,5,3
Oct 29,12:00 PM,2016,Evinrude (Atom),Peterborough Petes,Richmond Hill Coyotes,11,1
Oct 29,2:00 PM,2016,Strathcona (1 - Goodyear),Quinte Red Devils,Clarington Toros,7,4
Oct 29,2:00 PM,2016,Innisfil Rec (Red),Barrie Jr Colts,Markham Waxers,6,3
Oct 29,2:30 PM,2016,McKinney (2),Whitby Wildcats,York-Simcoe Express,3,1
Oct 29,4:00 PM,2016,Don Beer (3),Ajax-Pickering Raiders,Central Ontario Wolves,2,7
Oct 30,12:00 PM,2016,Elvis Stojko,Richmond Hill Coyotes,Central Ontario Wolves,1,13
Oct 30,12:00 PM,2016,Rickard (A),Clarington Toros,Barrie Jr Colts,4,3
Oct 30,1:00 PM,2016,St. Andrews College,York-Simcoe Express,Whitby Wildcats,3,3
Oct 30,4:00 PM,2016,Strathcona (1 - Goodyear),Quinte Red Devils,Markham Waxers,0,2
Nov 01,7:00 PM,2016,Elvis Stojko,Richmond Hill Coyotes,York-Simcoe Express,1,2
