Sep 18,6:15 PM,2015,Quinte S & WC (FDC),Quinte Red Devils,Richmond Hill Coyotes,1,1
Sep 18,7:15 PM,2015,Rickard (A),Clarington Toros,Kingston Jr Frontenacs,5,4
Sep 18,7:30 PM,2015,Allandale Rec (Blue),Barrie Jr Colts,Central Ontario Wolves,2,0
Sep 19,3:30 PM,2015,Cataraqui (Cataraui),Kingston Jr Frontenacs,Richmond Hill Coyotes,1,4
Sep 19,3:45 PM,2015,Rama,North Central Predators,Oshawa Generals,4,3
Sep 19,4:00 PM,2015,St. Andrews College,York-Simcoe Express,Markham Waxers,5,2
Sep 19,5:00 PM,2015,Lindsay Rec (2),Central Ontario Wolves,Peterborough Petes,2,3
Sep 20,1:00 PM,2015,Rama,North Central Predators,York-Simcoe Express,2,5
Sep 20,2:30 PM,2015,Rickard (A),Clarington Toros,Barrie Jr Colts,2,3
Sep 20,4:15 PM,2015,Village,Markham Waxers,Richmond Hill Coyotes,0,3
Sep 20,6:00 PM,2015,Campus (1),Oshawa Generals,Central Ontario Wolves,8,1
Sep 25,7:00 PM,2015,Innisfil Rec (Red),Barrie Jr Colts,North Central Predators,1,0
Sep 26,12:00 PM,2015,INVISTA (Rona),Kingston Jr Frontenacs,Central Ontario Wolves,5,3
Sep 26,3:45 PM,2015,Rama,North Central Predators,Quinte Red Devils,2,2
Sep 26,4:00 PM,2015,St. Andrews College,York-Simcoe Express,Barrie Jr Colts,2,5
Sep 26,4:15 PM,2015,Evinrude (Atom),Peterborough Petes,Whitby Wildcats,2,7
Sep 26,6:30 PM,2015,Don Beer (3),Ajax-Pickering Raiders,Richmond Hill Coyotes,1,5
Sep 27,1:30 PM,2015,Evinrude (Atom),Peterborough Petes,York-Simcoe Express,1,3
Sep 27,3:00 PM,2015,Elvis Stojko,Richmond Hill Coyotes,Central Ontario Wolves,9,0
Sep 27,3:30 PM,2015,Allandale Rec (Blue),Barrie Jr Colts,Quinte Red Devils,1,0
Sep 27,6:00 PM,2015,Campus (1),Oshawa Generals,Whitby Wildcats,3,2
Sep 29,7:15 PM,2015,IPSC (4),Whitby Wildcats,Central Ontario Wolves,6,1
Oct 02,7:15 PM,2015,Rickard (A),Clarington Toros,Oshawa Generals,2,2
Oct 02,7:30 PM,2015,Madoc,Quinte Red Devils,Central Ontario Wolves,3,0
Oct 03,5:15 PM,2015,Lindsay Rec (2),Central Ontario Wolves,Kingston Jr Frontenacs,2,3
Oct 04,1:15 PM,2015,Rickard (A),Clarington Toros,York-Simcoe Express,4,6
Oct 04,2:00 PM,2015,Madoc,Quinte Red Devils,Markham Waxers,2,3
Oct 04,6:00 PM,2015,Campus (1),Oshawa Generals,Central Ontario Wolves,12,0
Oct 07,8:00 PM,2015,Quinte S & WC (Yardmen),Quinte Red Devils,Oshawa Generals,1,3
Oct 08,7:15 PM,2015,Lindsay Rec (2),Central Ontario Wolves,Clarington Toros,0,6
Oct 09,7:15 PM,2015,Rickard (A),Clarington Toros,Markham Waxers,2,1
Oct 10,3:45 PM,2015,Rama,North Central Predators,Markham Waxers,3,3
Oct 10,5:30 PM,2015,Elvis Stojko,Richmond Hill Coyotes,Whitby Wildcats,4,1
Oct 10,6:30 PM,2015,Don Beer (3),Ajax-Pickering Raiders,Quinte Red Devils,3,1
Oct 11,2:45 PM,2015,Rickard (A),Clarington Toros,Quinte Red Devils,0,2
Oct 11,2:45 PM,2015,Rama,North Central Predators,Whitby Wildcats,4,4
Oct 11,3:30 PM,2015,Evinrude (Atom),Peterborough Petes,Richmond Hill Coyotes,4,4
Oct 11,4:15 PM,2015,Village,Markham Waxers,Oshawa Generals,2,6
Oct 13,7:15 PM,2015,IPSC (4),Whitby Wildcats,Peterborough Petes,2,2
Oct 13,8:00 PM,2015,Elgin Barrow (East),Richmond Hill Coyotes,York-Simcoe Express,2,2
Oct 16,7:00 PM,2015,Innisfil Rec (Red),Barrie Jr Colts,York-Simcoe Express,2,1
Oct 16,7:30 PM,2015,Madoc,Quinte Red Devils,Peterborough Petes,2,1
Oct 17,2:00 PM,2015,St. Andrews College,York-Simcoe Express,Quinte Red Devils,3,8
Oct 17,3:45 PM,2015,Rama,North Central Predators,Clarington Toros,1,1
Oct 17,5:00 PM,2015,Innisfil Rec (Red),Barrie Jr Colts,Kingston Jr Frontenacs,2,0
Oct 17,5:15 PM,2015,Village,Markham Waxers,Richmond Hill Coyotes,4,1
Oct 17,6:30 PM,2015,Don Beer (3),Ajax-Pickering Raiders,Oshawa Generals,2,4
Oct 18,2:45 PM,2015,Rama,North Central Predators,Kingston Jr Frontenacs,8,1
Oct 18,3:00 PM,2015,Elvis Stojko,Richmond Hill Coyotes,Quinte Red Devils,3,0
Oct 18,4:15 PM,2015,Village,Markham Waxers,Barrie Jr Colts,6,1
Oct 18,5:30 PM,2015,Ajax CC (1),Ajax-Pickering Raiders,Clarington Toros,2,9
Oct 18,6:00 PM,2015,Campus (1),Oshawa Generals,Peterborough Petes,5,1
Oct 20,7:15 PM,2015,IPSC (4),Whitby Wildcats,Clarington Toros,3,1
Oct 20,7:40 PM,2015,Ajax CC (4),Ajax-Pickering Raiders,Barrie Jr Colts,2,6
Oct 22,7:15 PM,2015,Lindsay Rec (2),Central Ontario Wolves,Peterborough Petes,0,8
Oct 24,1:30 PM,2015,Evinrude (Atom),Peterborough Petes,North Central Predators,2,2
