Sep 11,5:45 PM,Evinrude (IGA),Peterborough Petes,Northumberland Nighthawks,7,2
Sep 12,6:00 PM,Ajax CC (4),Ajax Knights,Oshawa Generals,2,5
Sep 13,6:30 PM,Campus (1),Oshawa Generals,Clarington Toros,3,2
Sep 13,6:30 PM,Don Beer (2),Pickering Panthers,Ajax Knights,1,2
Sep 17,1:00 PM,Ajax CC (4),Ajax Knights,Pickering Panthers,7,2
Sep 18,3:45 PM,Quinte S & WC (FDC),Belleville Bulls,Ajax Knights,4,1
Sep 21,6:45 PM,Legends (4),Oshawa Generals,Belleville Bulls,5,6
Sep 22,6:30 PM,CCC (Bowl),Northumberland Nighthawks,Whitby Wildcats,3,5
Sep 24,2:45 PM,Don Beer (1),Pickering Panthers,Peterborough Petes,0,10
Sep 24,3:00 PM,Cataraqui (Kinsmen),Kingston Canadians,Ajax Knights,4,2
Sep 24,5:00 PM,Legends (1),Oshawa Generals,Northumberland Nighthawks,3,5
Sep 25,1:30 PM,IPSC (5),Whitby Wildcats,Kingston Canadians,7,1
Sep 25,2:00 PM,Darlington,Clarington Toros,Peterborough Petes,1,10
Sep 26,6:45 PM,Legends (4),Oshawa Generals,Pickering Panthers,2,1
Sep 29,6:30 PM,Campus (1),Oshawa Generals,Whitby Wildcats,4,6
Sep 29,6:30 PM,CCC (Bowl),Northumberland Nighthawks,Kingston Canadians,6,5
Oct 01,2:45 PM,Don Beer (1),Pickering Panthers,Kingston Canadians,1,7
Oct 01,3:15 PM,Kinsmen (PCCHL),Peterborough Petes,Ajax Knights,10,0
Oct 01,6:45 PM,Quinte S & WC (Wally Dever),Belleville Bulls,Whitby Wildcats,0,6
Oct 01,6:45 PM,Rickard (B),Clarington Toros,Kingston Canadians,3,4
Oct 02,12:30 PM,INVISTA (Whig),Kingston Canadians,Peterborough Petes,0,6
Oct 02,1:15 PM,IPSC (2),Whitby Wildcats,Oshawa Generals,7,3
Oct 02,2:30 PM,Village,Ajax Knights,Northumberland Nighthawks,0,3
Oct 02,5:00 PM,Quinte S & WC (Wally Dever),Belleville Bulls,Clarington Toros,3,7
Oct 06,5:30 PM,Legends (1),Oshawa Generals,Whitby Wildcats,2,6
Oct 06,6:30 PM,CCC (Bowl),Northumberland Nighthawks,Clarington Toros,4,4
Oct 08,2:45 PM,Don Beer (1),Pickering Panthers,Belleville Bulls,0,2
Oct 08,5:00 PM,Legends (1),Oshawa Generals,Northumberland Nighthawks,5,7
Oct 12,6:00 PM,Ajax CC (4),Ajax Knights,Peterborough Petes,0,10
Oct 13,6:30 PM,CCC (Bowl),Northumberland Nighthawks,Pickering Panthers,9,0
Oct 15,2:15 PM,IPSC (2),Whitby Wildcats,Kingston Canadians,5,0
Oct 16,1:15 PM,IPSC (2),Whitby Wildcats,Peterborough Petes,3,4
Oct 16,1:30 PM,Centre 70,Kingston Canadians,Ajax Knights,8,1
Oct 20,6:30 PM,CCC (Bowl),Northumberland Nighthawks,Kingston Canadians,2,2
Oct 21,7:30 PM,Rickard (B),Clarington Toros,Whitby Wildcats,0,3
Oct 22,1:00 PM,Ajax CC (4),Ajax Knights,Belleville Bulls,1,3
Oct 22,2:45 PM,Don Beer (1),Pickering Panthers,Clarington Toros,1,7
Oct 23,2:00 PM,Darlington,Clarington Toros,Belleville Bulls,2,6
Oct 23,2:30 PM,Ajax CC (3),Ajax Knights,Kingston Canadians,1,2
Oct 25,6:30 PM,Don Beer (2),Pickering Panthers,Oshawa Generals,0,5
Oct 27,6:30 PM,CCC (Bowl),Northumberland Nighthawks,Whitby Wildcats,6,8
Oct 28,6:15 PM,IPSC (6),Whitby Wildcats,Peterborough Petes,0,4
Oct 29,1:30 PM,INVISTA (Whig),Kingston Canadians,Northumberland Nighthawks,3,3
Oct 29,2:45 PM,Don Beer (1),Pickering Panthers,Ajax Knights,1,5
Oct 29,3:30 PM,Kinsmen (PGHA),Peterborough Petes,Clarington Toros,3,1
Oct 29,6:45 PM,Quinte S & WC (Wally Dever),Belleville Bulls,Oshawa Generals,4,6
Oct 30,12:30 PM,Cataraqui (Cataraui),Kingston Canadians,Pickering Panthers,3,1
Oct 30,1:15 PM,Evinrude (IGA),Peterborough Petes,Whitby Wildcats,6,4
Oct 30,3:45 PM,Quinte S & WC (FDC),Belleville Bulls,Ajax Knights,1,2
Nov 01,6:00 PM,McKinney (2),Whitby Wildcats,Pickering Panthers,8,0
Nov 02,6:00 PM,Ajax CC (4),Ajax Knights,Northumberland Nighthawks,0,5
Nov 03,6:30 PM,CCC (Bowl),Northumberland Nighthawks,Belleville Bulls,8,7
Nov 05,1:00 PM,Ajax CC (4),Ajax Knights,Kingston Canadians,0,3
Nov 05,4:45 PM,Kinsmen (PGHA),Peterborough Petes,Belleville Bulls,11,1
Nov 06,1:15 PM,Evinrude (IGA),Peterborough Petes,Oshawa Generals,8,0
Nov 06,3:00 PM,Deseronto,Belleville Bulls,Kingston Canadians,4,3
Nov 08,6:30 PM,Don Beer (2),Pickering Panthers,Whitby Wildcats,2,12
Nov 09,8:00 PM,Quinte S & WC (B),Belleville Bulls,Kingston Canadians,3,5
Nov 10,5:30 PM,Legends (1),Oshawa Generals,Clarington Toros,0,2
Nov 10,6:30 PM,CCC (Bowl),Northumberland Nighthawks,Peterborough Petes,1,8
Nov 12,12:15 PM,Rickard (A),Clarington Toros,Ajax Knights,6,4
Nov 12,4:30 PM,Kinsmen (PCCHL),Peterborough Petes,Pickering Panthers,10,0
Nov 12,5:30 PM,Centre 70,Kingston Canadians,Whitby Wildcats,0,4
Nov 12,6:45 PM,Quinte S & WC (Wally Dever),Belleville Bulls,Northumberland Nighthawks,6,2
Nov 13,12:00 PM,Centre 70,Kingston Canadians,Oshawa Generals,2,2
Nov 13,3:45 PM,Quinte S & WC (FDC),Belleville Bulls,Peterborough Petes,0,6
Nov 15,6:00 PM,McKinney (2),Whitby Wildcats,Northumberland Nighthawks,5,3
Nov 15,6:15 PM,Rickard (A),Clarington Toros,Pickering Panthers,4,0
Nov 17,6:30 PM,CCC (Bowl),Northumberland Nighthawks,Oshawa Generals,3,5
Nov 17,6:30 PM,IPSC (2),Whitby Wildcats,Ajax Knights,9,0
Nov 19,2:00 PM,Quinte S & WC (B),Belleville Bulls,Whitby Wildcats,2,8
Nov 19,2:15 PM,Rickard (A),Clarington Toros,Oshawa Generals,7,2
Nov 19,3:00 PM,INVISTA (Whig),Kingston Canadians,Peterborough Petes,0,7
Nov 20,12:00 PM,IPSC (5),Whitby Wildcats,Oshawa Generals,6,0
Nov 20,12:00 PM,Centre 70,Kingston Canadians,Pickering Panthers,10,1
Nov 20,1:15 PM,Evinrude (IGA),Peterborough Petes,Northumberland Nighthawks,6,0
Nov 20,3:45 PM,Quinte S & WC (FDC),Belleville Bulls,Clarington Toros,0,4
Nov 22,6:00 PM,McKinney (2),Whitby Wildcats,Clarington Toros,2,3
Nov 22,6:30 PM,Don Beer (2),Pickering Panthers,Oshawa Generals,0,4
Nov 23,6:00 PM,Ajax CC (4),Ajax Knights,Oshawa Generals,2,5
Nov 26,2:45 PM,Don Beer (1),Pickering Panthers,Belleville Bulls,2,8
Nov 26,5:30 PM,Legends (1),Oshawa Generals,Ajax Knights,6,1
Nov 27,12:00 PM,Campus (1),Oshawa Generals,Belleville Bulls,3,3
Nov 28,6:30 PM,Ajax CC (3),Ajax Knights,Clarington Toros,3,2
Nov 29,6:00 PM,McKinney (2),Whitby Wildcats,Ajax Knights,4,1
Nov 29,6:30 PM,Rickard (A),Clarington Toros,Pickering Panthers,12,2
Dec 01,6:30 PM,CCC (Bowl),Northumberland Nighthawks,Ajax Knights,1,1
Dec 02,6:30 PM,Rickard (B),Clarington Toros,Kingston Canadians,0,5
Dec 03,1:00 PM,Ajax CC (4),Ajax Knights,Peterborough Petes,0,9
Dec 03,2:15 PM,Rickard (A),Clarington Toros,Northumberland Nighthawks,4,0
Dec 03,5:00 PM,Legends (1),Oshawa Generals,Pickering Panthers,7,0
Dec 04,1:30 PM,South Courtice (B),Clarington Toros,Peterborough Petes,1,13
Dec 05,6:00 PM,Ajax CC (4),Ajax Knights,Whitby Wildcats,2,7
Dec 06,6:30 PM,Don Beer (2),Pickering Panthers,Northumberland Nighthawks,0,7
Dec 08,6:30 PM,CCC (Bowl),Northumberland Nighthawks,Pickering Panthers,7,1
Dec 09,7:00 PM,Kinsmen (PGHA),Peterborough Petes,Pickering Panthers,10,0
Dec 10,1:00 PM,Ajax CC (4),Ajax Knights,Belleville Bulls,0,4
Dec 10,3:15 PM,Kinsmen (PCCHL),Peterborough Petes,Kingston Canadians,8,1
Dec 11,2:00 PM,Darlington,Clarington Toros,Whitby Wildcats,1,4
Dec 11,3:45 PM,Quinte S & WC (FDC),Belleville Bulls,Pickering Panthers,5,3
Dec 11,4:30 PM,Campus (1),Oshawa Generals,Kingston Canadians,2,2
Dec 13,6:00 PM,McKinney (2),Whitby Wildcats,Pickering Panthers,11,1
Dec 14,6:00 PM,Ajax CC (4),Ajax Knights,Clarington Toros,4,4
Dec 15,6:30 PM,CCC (Bowl),Northumberland Nighthawks,Belleville Bulls,4,1
Dec 17,6:45 PM,Quinte S & WC (Wally Dever),Belleville Bulls,Oshawa Generals,3,9
Dec 18,1:30 PM,Cataraqui (Cataraui),Kingston Canadians,Oshawa Generals,6,1
Dec 18,3:15 PM,Darlington,Clarington Toros,Ajax Knights,2,3
Dec 18,3:45 PM,Quinte S & WC (FDC),Belleville Bulls,Peterborough Petes,0,7
Dec 20,6:30 PM,Don Beer (2),Pickering Panthers,Clarington Toros,0,8
Dec 21,7:30 PM,Centre 70,Kingston Canadians,Belleville Bulls,3,0
Dec 22,6:30 PM,CCC (Bowl),Northumberland Nighthawks,Clarington Toros,3,3
Dec 23,6:15 PM,IPSC (6),Whitby Wildcats,Northumberland Nighthawks,3,1
Jan 03,6:30 PM,Rickard (A),Clarington Toros,Oshawa Generals,2,1
Jan 03,6:30 PM,Don Beer (2),Pickering Panthers,Northumberland Nighthawks,0,7
Jan 03,7:30 PM,Centre 70,Kingston Canadians,Belleville Bulls,2,4
Jan 05,5:30 PM,Legends (1),Oshawa Generals,Kingston Canadians,2,3
Jan 05,6:30 PM,Quinte S & WC (B),Belleville Bulls,Northumberland Nighthawks,4,5
Jan 06,6:45 PM,Don Beer (1),Pickering Panthers,Peterborough Petes,0,8
Jan 07,3:00 PM,INVISTA (Whig),Kingston Canadians,Whitby Wildcats,2,2
Jan 07,3:15 PM,Kinsmen (PCCHL),Peterborough Petes,Belleville Bulls,9,0
Jan 08,2:00 PM,Kinsmen (PCCHL),Peterborough Petes,Oshawa Generals,8,0
Jan 08,2:00 PM,Darlington,Clarington Toros,Belleville Bulls,3,1
Jan 08,3:30 PM,Don Beer (2),Pickering Panthers,Kingston Canadians,1,11
Jan 08,5:00 PM,IPSC (4),Whitby Wildcats,Belleville Bulls,4,0
Jan 08,6:30 PM,CCC (Pond),Northumberland Nighthawks,Oshawa Generals,8,1
Jan 10,6:00 PM,McKinney (2),Whitby Wildcats,Clarington Toros,6,3
Jan 11,7:00 PM,Northcrest,Peterborough Petes,Ajax Knights,10,0
Jan 14,3:30 PM,Cataraqui (Kinsmen),Kingston Canadians,Clarington Toros,1,3
Jan 15,1:30 PM,Centre 70,Kingston Canadians,Clarington Toros,2,2
Jan 17,6:30 PM,Don Beer (2),Pickering Panthers,Whitby Wildcats,0,9
Jan 18,6:00 PM,Ajax CC (4),Ajax Knights,Whitby Wildcats,2,9
Jan 18,6:30 PM,Jack Burger,Northumberland Nighthawks,Peterborough Petes,0,3
Jan 19,6:30 PM,CCC (Bowl),Northumberland Nighthawks,Ajax Knights,8,1
Jan 19,7:00 PM,Kinsmen (PCCHL),Peterborough Petes,Clarington Toros,7,0
Jan 20,7:00 PM,Northcrest,Peterborough Petes,Kingston Canadians,3,1
Jan 21,1:00 PM,Ajax CC (4),Ajax Knights,Pickering Panthers,3,2
Jan 21,1:15 PM,Legends (4),Oshawa Generals,Peterborough Petes,0,10
Jan 21,3:00 PM,INVISTA (Whig),Kingston Canadians,Northumberland Nighthawks,0,3
Jan 21,3:15 PM,IPSC (2),Whitby Wildcats,Belleville Bulls,4,5
Jan 21,5:00 PM,Legends (1),Oshawa Generals,Peterborough Petes,3,10
Jan 22,1:30 PM,Campus (1),Oshawa Generals,Ajax Knights,3,3
Jan 22,2:00 PM,Darlington,Clarington Toros,Northumberland Nighthawks,0,3
Jan 22,3:30 PM,Evinrude (IGA),Peterborough Petes,Whitby Wildcats,9,1
