Sep 18,3:00 PM,2016,Normanby Arena,Grey-Bruce Highlanders,Hamilton Jr Bulldogs,5,4
Sep 25,7:00 PM,2016,Appleby (2),Burlington Eagles,Oakville Rangers,3,7
Sep 27,7:30 PM,2016,Gateway (1),Hamilton Jr Bulldogs,Oakville Rangers,2,8
Sep 27,9:00 PM,2016,MSC (C),Halton Hurricanes,Niagara North Stars,2,5
Sep 29,6:30 PM,2016,U of G (Gold),Guelph Gryphons,Burlington Eagles,2,2
Sep 30,8:00 PM,2016,MSC (C),Halton Hurricanes,Hamilton Jr Bulldogs,2,2
Oct 01,5:30 PM,2016,Chesley,Grey-Bruce Highlanders,Niagara North Stars,2,2
Oct 02,2:15 PM,2016,Chesley,Grey-Bruce Highlanders,Buffalo Regals,5,3
Oct 02,4:15 PM,2016,S-H SEC (Sportsplex) (4),Niagara North Stars,Burlington Eagles,6,1
Oct 02,5:30 PM,2016,U of G (Gold),Guelph Gryphons,Oakville Rangers,1,3
Oct 03,8:45 PM,2016,Earnscliffe (2),Brampton 45s,Halton Hurricanes,4,0
Oct 04,6:30 PM,2016,U of G (Gold),Guelph Gryphons,Halton Hurricanes,2,1
Oct 04,8:00 PM,2016,Central,Burlington Eagles,Buffalo Regals,7,0
Oct 05,9:00 PM,2016,Joshua Creek (Red),Oakville Rangers,Brampton 45s,5,2
Oct 08,5:30 PM,2016,Chesley,Grey-Bruce Highlanders,Burlington Eagles,1,4
Oct 09,3:30 PM,2016,U of G (Gold),Guelph Gryphons,Brampton 45s,2,3
Oct 09,3:30 PM,2016,Gateway (1),Hamilton Jr Bulldogs,Grey-Bruce Highlanders,6,4
Oct 09,5:00 PM,2016,Gatecliff,Niagara North Stars,Buffalo Regals,12,0
Oct 11,8:00 PM,2016,Central,Burlington Eagles,Guelph Gryphons,4,1
Oct 12,7:15 PM,2016,Earnscliffe (2),Brampton 45s,Hamilton Jr Bulldogs,4,2
Oct 12,9:00 PM,2016,Joshua Creek (Red),Oakville Rangers,Halton Hurricanes,7,1
Oct 15,3:30 PM,2016,MSC (A),Halton Hurricanes,Grey-Bruce Highlanders,1,4
Oct 16,2:15 PM,2016,Chesley,Grey-Bruce Highlanders,Halton Hurricanes,5,8
Oct 19,7:15 PM,2016,Earnscliffe (2),Brampton 45s,Grey-Bruce Highlanders,2,2
Oct 19,9:00 PM,2016,Joshua Creek (Red),Oakville Rangers,Hamilton Jr Bulldogs,8,1
Oct 21,8:00 PM,2016,MSC (C),Halton Hurricanes,Burlington Eagles,2,5
