Sep 13,8:30 PM,2016,Vale (1),Southern Tier Admirals,Brampton 45s,1,1
Sep 17,4:00 PM,2016,Appleby (2),Burlington Eagles,Guelph Gryphons,3,2
Sep 17,7:15 PM,2016,Holiday (1),Buffalo Regals,Niagara North Stars,3,0
Sep 18,12:15 PM,2016,Earnscliffe (2),Brampton 45s,Grey-Bruce Highlanders,2,2
Sep 18,3:30 PM,2016,WERC (1),Guelph Gryphons,Halton Hurricanes,3,3
Sep 19,8:20 PM,2016,Terry Miller,Brampton 45s,Guelph Gryphons,0,10
Sep 20,8:30 PM,2016,Vale (1),Southern Tier Admirals,Burlington Eagles,2,5
Sep 24,12:00 PM,2016,Chesley,Grey-Bruce Highlanders,Brampton 45s,4,1
Sep 24,5:00 PM,2016,Erin,Halton Hurricanes,Guelph Gryphons,3,3
Sep 24,7:00 PM,2016,Holiday (1),Buffalo Regals,Oakville Rangers,2,1
Sep 25,3:30 PM,2016,WERC (1),Guelph Gryphons,Grey-Bruce Highlanders,6,1
Sep 25,5:50 PM,2016,Joshua Creek (Red),Oakville Rangers,Southern Tier Admirals,4,2
Sep 26,7:00 PM,2016,Appleby (1),Burlington Eagles,Niagara North Stars,5,2
Sep 26,8:20 PM,2016,Terry Miller,Brampton 45s,Halton Hurricanes,2,3
Sep 27,8:30 PM,2016,Vale (1),Southern Tier Admirals,Guelph Gryphons,2,1
Sep 28,8:45 PM,2016,S-H SEC (Sportsplex) (4),Niagara North Stars,Southern Tier Admirals,5,0
Sep 29,7:45 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Oakville Rangers,5,3
Oct 01,5:15 PM,2016,Mainway (A),Burlington Eagles,Hamilton Jr Bulldogs,7,3
Oct 01,6:30 PM,2016,Erin,Halton Hurricanes,Niagara North Stars,0,1
Oct 02,12:00 PM,2016,Leisureplex (Jaycee),Buffalo Regals,Grey-Bruce Highlanders,1,1
Oct 02,5:00 PM,2016,Leisureplex (Jaycee),Buffalo Regals,Grey-Bruce Highlanders,4,4
Oct 02,5:50 PM,2016,Joshua Creek (Red),Oakville Rangers,Brampton 45s,4,2
Oct 03,8:20 PM,2016,Terry Miller,Brampton 45s,Hamilton Jr Bulldogs,3,3
Oct 04,8:30 PM,2016,Vale (1),Southern Tier Admirals,Halton Hurricanes,3,3
Oct 05,8:00 PM,2016,S-H SEC (Sportsplex) (4),Niagara North Stars,Brampton 45s,3,0
Oct 06,7:45 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Halton Hurricanes,1,3
Oct 08,4:00 PM,2016,WERC (2),Guelph Gryphons,Niagara North Stars,1,1
Oct 08,5:00 PM,2016,Erin,Halton Hurricanes,Oakville Rangers,2,1
Oct 09,5:50 PM,2016,Joshua Creek (Red),Oakville Rangers,Hamilton Jr Bulldogs,5,0
Oct 11,8:30 PM,2016,Vale (1),Southern Tier Admirals,Hamilton Jr Bulldogs,1,2
Oct 12,8:00 PM,2016,S-H SEC (Sportsplex) (4),Niagara North Stars,Burlington Eagles,5,2
Oct 15,5:15 PM,2016,Mainway (A),Burlington Eagles,Grey-Bruce Highlanders,3,0
Oct 15,7:00 PM,2016,Holiday (1),Buffalo Regals,Brampton 45s,3,1
Oct 16,2:45 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Grey-Bruce Highlanders,3,6
Oct 16,3:00 PM,2016,Holiday (1),Buffalo Regals,Oakville Rangers,3,1
Oct 17,8:20 PM,2016,Terry Miller,Brampton 45s,Niagara North Stars,1,7
Oct 18,8:30 PM,2016,Vale (1),Southern Tier Admirals,Buffalo Regals,1,1
Oct 19,8:00 PM,2016,S-H SEC (Sportsplex) (4),Niagara North Stars,Guelph Gryphons,4,0
Oct 20,7:00 PM,2016,Central,Burlington Eagles,Halton Hurricanes,3,2
