Sep 13,7:00 PM,2016,Vale (1),Southern Tier Admirals,Brampton 45s,3,2
Sep 13,7:45 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Niagara North Stars,1,2
Sep 17,3:50 PM,2016,MSC (A),Halton Hurricanes,Buffalo Regals,3,2
Sep 17,4:15 PM,2016,WERC (2),Guelph Gryphons,Grey-Bruce Highlanders,5,1
Sep 18,11:30 AM,2016,Normanby Arena,Grey-Bruce Highlanders,Oakville Rangers,2,8
Sep 18,2:45 PM,2016,Earnscliffe (2),Brampton 45s,Halton Hurricanes,0,3
Sep 18,3:00 PM,2016,Holiday (1),Buffalo Regals,Burlington Eagles,3,6
Sep 19,6:20 PM,2016,Joshua Creek (Red),Oakville Rangers,Brampton 45s,9,2
Sep 20,7:00 PM,2016,Vale (1),Southern Tier Admirals,Halton Hurricanes,4,2
Sep 20,7:45 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Guelph Gryphons,4,0
Sep 24,1:45 PM,2016,Chesley,Grey-Bruce Highlanders,Brampton 45s,4,2
Sep 24,2:15 PM,2016,WERC (2),Guelph Gryphons,Oakville Rangers,0,6
Sep 24,5:10 PM,2016,MSC (A),Halton Hurricanes,Burlington Eagles,3,3
Sep 25,12:30 PM,2016,Vale (1),Southern Tier Admirals,Grey-Bruce Highlanders,4,0
Sep 25,4:00 PM,2016,Vale (1),Southern Tier Admirals,Grey-Bruce Highlanders,6,1
Sep 25,6:30 PM,2016,Mainway (B),Burlington Eagles,Niagara North Stars,3,6
Sep 25,7:20 PM,2016,South Fletcher (1),Brampton 45s,Buffalo Regals,2,4
Sep 26,6:20 PM,2016,Joshua Creek (Red),Oakville Rangers,Halton Hurricanes,2,0
Sep 27,7:00 PM,2016,Vale (1),Southern Tier Admirals,Buffalo Regals,5,1
Sep 28,7:15 PM,2016,S-H SEC (Sportsplex) (4),Niagara North Stars,Oakville Rangers,0,2
Sep 29,6:30 PM,2016,Mainway (B),Burlington Eagles,Hamilton Jr Bulldogs,3,2
Oct 01,12:00 PM,2016,Chesley,Grey-Bruce Highlanders,Brampton 45s,3,1
Oct 02,3:00 PM,2016,Holiday (1),Buffalo Regals,Niagara North Stars,3,7
Oct 02,7:20 PM,2016,South Fletcher (1),Brampton 45s,Burlington Eagles,1,4
Oct 04,7:00 PM,2016,Vale (1),Southern Tier Admirals,Burlington Eagles,7,3
Oct 04,7:45 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Oakville Rangers,1,5
Oct 05,6:45 PM,2016,S-H SEC (Sportsplex) (4),Niagara North Stars,Southern Tier Admirals,1,2
Oct 08,12:15 PM,2016,WERC (2),Guelph Gryphons,Buffalo Regals,3,4
Oct 08,1:50 PM,2016,SMSC (2),Oakville Rangers,Grey-Bruce Highlanders,8,1
Oct 08,5:20 PM,2016,MSC (A),Halton Hurricanes,Niagara North Stars,0,3
Oct 08,5:30 PM,2016,WERC (2),Guelph Gryphons,Buffalo Regals,4,1
Oct 09,12:30 PM,2016,Chesley,Grey-Bruce Highlanders,Halton Hurricanes,2,7
Oct 09,2:00 PM,2016,Joshua Creek (Red),Oakville Rangers,Buffalo Regals,10,1
Oct 11,7:45 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Southern Tier Admirals,4,3
Oct 12,6:45 PM,2016,S-H SEC (Sportsplex) (4),Niagara North Stars,Brampton 45s,7,1
Oct 13,7:30 PM,2016,Mainway (B),Burlington Eagles,Oakville Rangers,4,4
Oct 15,2:00 PM,2016,MSC (A),Halton Hurricanes,Guelph Gryphons,8,3
Oct 15,3:10 PM,2016,Terry Miller,Brampton 45s,Hamilton Jr Bulldogs,2,2
Oct 16,3:30 PM,2016,WERC (1),Guelph Gryphons,Halton Hurricanes,0,4
Oct 16,7:20 PM,2016,South Fletcher (1),Brampton 45s,Niagara North Stars,0,2
Oct 17,6:20 PM,2016,Joshua Creek (Red),Oakville Rangers,Hamilton Jr Bulldogs,5,0
Oct 18,7:00 PM,2016,Vale (1),Southern Tier Admirals,Niagara North Stars,1,5
Oct 18,7:15 PM,2016,Buffalo State SC,Buffalo Regals,Burlington Eagles,0,3
Oct 18,7:45 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Brampton 45s,3,0
Oct 19,7:00 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Halton Hurricanes,2,2
Oct 20,7:30 PM,2016,Mainway (B),Burlington Eagles,Southern Tier Admirals,1,2
Oct 22,1:15 PM,2016,WERC (2),Guelph Gryphons,Brampton 45s,3,4
Oct 22,3:50 PM,2016,MSC (A),Halton Hurricanes,Grey-Bruce Highlanders,4,0
Oct 23,12:30 PM,2016,Chesley,Grey-Bruce Highlanders,Burlington Eagles,0,9
Oct 23,7:20 PM,2016,South Fletcher (1),Brampton 45s,Guelph Gryphons,1,2
Oct 24,7:30 PM,2016,Joshua Creek (Red),Oakville Rangers,Niagara North Stars,1,3
Oct 25,7:00 PM,2016,Vale (1),Southern Tier Admirals,Guelph Gryphons,0,3
Oct 25,7:45 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Halton Hurricanes,0,2
Oct 26,7:00 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Buffalo Regals,10,1
Oct 27,7:30 PM,2016,Mainway (B),Burlington Eagles,Brampton 45s,6,0
Oct 29,5:30 PM,2016,WERC (2),Guelph Gryphons,Burlington Eagles,1,3
Oct 29,6:30 PM,2016,MSC (A),Halton Hurricanes,Grey-Bruce Highlanders,9,0
Oct 30,12:30 PM,2016,Chesley,Grey-Bruce Highlanders,Hamilton Jr Bulldogs,1,6
Oct 30,5:15 PM,2016,Holiday (2),Buffalo Regals,Southern Tier Admirals,0,2
Nov 01,7:45 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Buffalo Regals,5,3
Nov 02,7:00 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Burlington Eagles,5,1
Nov 05,4:00 PM,2016,Mainway (A),Burlington Eagles,Grey-Bruce Highlanders,9,2
Nov 05,7:20 PM,2016,MSC (A),Halton Hurricanes,Oakville Rangers,3,1
Nov 08,7:00 PM,2016,Vale (1),Southern Tier Admirals,Oakville Rangers,2,3
Nov 08,7:45 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Burlington Eagles,5,3
Nov 09,7:00 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Hamilton Jr Bulldogs,4,1
Nov 10,7:30 PM,2016,Mainway (B),Burlington Eagles,Buffalo Regals,2,2
Nov 12,3:50 PM,2016,MSC (A),Halton Hurricanes,Brampton 45s,5,1
Nov 13,2:45 PM,2016,Holiday (1),Buffalo Regals,Halton Hurricanes,0,6
Nov 13,7:20 PM,2016,South Fletcher (1),Brampton 45s,Southern Tier Admirals,1,3
Nov 14,6:20 PM,2016,Joshua Creek (Red),Oakville Rangers,Southern Tier Admirals,5,5
Nov 15,7:00 PM,2016,Vale (1),Southern Tier Admirals,Brampton 45s,3,3
Nov 16,7:00 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Guelph Gryphons,3,0
Nov 18,7:40 PM,2016,Memorial,Brampton 45s,Buffalo Regals,0,5
Nov 19,1:45 PM,2016,Chesley,Grey-Bruce Highlanders,Niagara North Stars,1,4
Nov 19,5:15 PM,2016,Chesley,Grey-Bruce Highlanders,Niagara North Stars,2,7
Nov 20,12:30 PM,2016,Chesley,Grey-Bruce Highlanders,Oakville Rangers,0,6
Nov 20,2:45 PM,2016,Holiday (2),Buffalo Regals,Hamilton Jr Bulldogs,1,5
Nov 20,7:20 PM,2016,South Fletcher (1),Brampton 45s,Halton Hurricanes,0,3
Nov 21,6:20 PM,2016,Joshua Creek (Red),Oakville Rangers,Brampton 45s,7,1
Nov 21,7:30 PM,2016,WERC (1),Guelph Gryphons,Niagara North Stars,2,1
Nov 22,7:00 PM,2016,Vale (1),Southern Tier Admirals,Halton Hurricanes,1,4
Nov 22,7:45 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Guelph Gryphons,3,2
Nov 26,3:10 PM,2016,Terry Miller,Brampton 45s,Burlington Eagles,1,4
Nov 26,3:45 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Grey-Bruce Highlanders,2,5
Nov 27,2:30 PM,2016,Holiday (1),Buffalo Regals,Hamilton Jr Bulldogs,0,5
Nov 27,7:20 PM,2016,South Fletcher (1),Brampton 45s,Grey-Bruce Highlanders,2,3
Nov 28,6:20 PM,2016,Joshua Creek (Red),Oakville Rangers,Halton Hurricanes,1,2
Nov 29,7:00 PM,2016,Vale (1),Southern Tier Admirals,Buffalo Regals,5,1
Dec 01,7:30 PM,2016,Mainway (B),Burlington Eagles,Guelph Gryphons,2,3
Dec 03,2:40 PM,2016,SMSC (1),Oakville Rangers,Grey-Bruce Highlanders,4,4
Dec 03,3:45 PM,2016,WERC (2),Guelph Gryphons,Southern Tier Admirals,1,4
Dec 04,12:30 PM,2016,Chesley,Grey-Bruce Highlanders,Guelph Gryphons,3,5
Dec 04,2:45 PM,2016,Holiday (1),Buffalo Regals,Niagara North Stars,0,8
Dec 05,6:20 PM,2016,Joshua Creek (Red),Oakville Rangers,Buffalo Regals,9,1
Dec 06,7:00 PM,2016,Vale (1),Southern Tier Admirals,Burlington Eagles,3,2
Dec 06,7:45 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Oakville Rangers,2,3
Dec 07,7:00 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Southern Tier Admirals,3,1
Dec 07,7:20 PM,2016,WERC (2),Guelph Gryphons,Hamilton Jr Bulldogs,0,3
Dec 10,5:00 PM,2016,Central,Burlington Eagles,Grey-Bruce Highlanders,4,1
Dec 10,5:10 PM,2016,MSC (A),Halton Hurricanes,Niagara North Stars,1,3
Dec 11,12:00 PM,2016,Holiday (2),Buffalo Regals,Guelph Gryphons,2,4
Dec 11,12:30 PM,2016,Chesley,Grey-Bruce Highlanders,Halton Hurricanes,3,5
Dec 11,4:30 PM,2016,Holiday (1),Buffalo Regals,Guelph Gryphons,1,2
Dec 11,7:20 PM,2016,South Fletcher (1),Brampton 45s,Hamilton Jr Bulldogs,2,9
Dec 12,6:20 PM,2016,Joshua Creek (Red),Oakville Rangers,Burlington Eagles,3,2
Dec 13,7:00 PM,2016,Vale (1),Southern Tier Admirals,Hamilton Jr Bulldogs,1,3
Dec 14,7:00 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Brampton 45s,7,0
Dec 15,7:30 PM,2016,Mainway (B),Burlington Eagles,Oakville Rangers,1,5
Dec 17,5:10 PM,2016,MSC (A),Halton Hurricanes,Guelph Gryphons,2,2
Dec 18,12:30 PM,2016,Chesley,Grey-Bruce Highlanders,Buffalo Regals,5,1
Dec 18,3:30 PM,2016,Chesley,Grey-Bruce Highlanders,Buffalo Regals,4,3
Dec 18,7:20 PM,2016,South Fletcher (1),Brampton 45s,Niagara North Stars,0,5
Dec 19,7:40 PM,2016,Joshua Creek (Red),Oakville Rangers,Hamilton Jr Bulldogs,2,2
Dec 20,7:00 PM,2016,Vale (1),Southern Tier Admirals,Niagara North Stars,2,2
Dec 20,7:45 PM,2016,Mohawk (Cogeco),Hamilton Jr Bulldogs,Brampton 45s,1,2
Dec 21,7:00 PM,2016,S-H SEC (Sportsplex) (1),Niagara North Stars,Halton Hurricanes,2,1
Dec 22,8:00 PM,2016,WERC (1),Guelph Gryphons,Oakville Rangers,0,5
Dec 23,7:00 PM,2016,Appleby (3),Burlington Eagles,Southern Tier Admirals,4,2
Jan 02,7:40 PM,2017,Joshua Creek (Red),Oakville Rangers,Niagara North Stars,1,0
Jan 03,7:00 PM,2017,Vale (1),Southern Tier Admirals,Guelph Gryphons,4,1
Jan 03,7:45 PM,2017,Mohawk (Cogeco),Hamilton Jr Bulldogs,Halton Hurricanes,4,4
Jan 04,7:00 PM,2017,S-H SEC (Sportsplex) (1),Niagara North Stars,Buffalo Regals,5,0
Jan 05,7:30 PM,2017,Mainway (B),Burlington Eagles,Brampton 45s,1,2
Jan 07,7:20 PM,2017,MSC (A),Halton Hurricanes,Hamilton Jr Bulldogs,2,5
Jan 08,3:30 PM,2017,Holiday (1),Buffalo Regals,Oakville Rangers,0,8
Jan 08,7:20 PM,2017,South Fletcher (1),Brampton 45s,Guelph Gryphons,1,3
Jan 09,6:20 PM,2017,Joshua Creek (Red),Oakville Rangers,Guelph Gryphons,8,3
Jan 09,7:30 PM,2017,Appleby (2),Burlington Eagles,Halton Hurricanes,4,4
Jan 11,7:00 PM,2017,S-H SEC (Sportsplex) (1),Niagara North Stars,Burlington Eagles,4,0
Jan 17,7:10 PM,2017,Vale (1),Southern Tier Admirals,Oakville Rangers,1,2
Jan 17,7:45 PM,2017,Mohawk (Cogeco),Hamilton Jr Bulldogs,Burlington Eagles,0,2
Jan 18,7:00 PM,2017,S-H SEC (Sportsplex) (1),Niagara North Stars,Hamilton Jr Bulldogs,2,2
Jan 19,7:30 PM,2017,Mainway (B),Burlington Eagles,Buffalo Regals,9,1
Jan 21,12:15 PM,2017,S-H SEC (Sportsplex) (4),Niagara North Stars,Grey-Bruce Highlanders,5,0
Jan 21,3:20 PM,2017,MSC (A),Halton Hurricanes,Southern Tier Admirals,1,2
Jan 21,4:15 PM,2017,WERC (2),Guelph Gryphons,Hamilton Jr Bulldogs,3,6
Jan 21,4:45 PM,2017,S-H SEC (Sportsplex) (4),Niagara North Stars,Grey-Bruce Highlanders,9,2
Jan 22,3:00 PM,2017,Holiday (1),Buffalo Regals,Brampton 45s,6,3
Jan 22,3:45 PM,2017,S-H SEC (Sportsplex) (4),Niagara North Stars,Guelph Gryphons,4,0
Jan 24,6:30 PM,2017,Appleby (2),Burlington Eagles,Halton Hurricanes,5,2
Jan 24,7:30 PM,2017,Joshua Creek (Red),Oakville Rangers,Southern Tier Admirals,6,1
Jan 24,7:45 PM,2017,Mohawk (Cogeco),Hamilton Jr Bulldogs,Buffalo Regals,4,1
Jan 26,7:30 PM,2017,Mainway (B),Burlington Eagles,Hamilton Jr Bulldogs,3,7
Jan 28,2:00 PM,2017,MSC (A),Halton Hurricanes,Brampton 45s,5,2
Jan 28,3:45 PM,2017,Mohawk (Cogeco),Hamilton Jr Bulldogs,Grey-Bruce Highlanders,9,0
Jan 28,4:15 PM,2017,WERC (2),Guelph Gryphons,Niagara North Stars,2,5
Jan 29,12:30 PM,2017,Chesley,Grey-Bruce Highlanders,Guelph Gryphons,3,3
