Sep 11,5:30 PM,Stouffville (Pad A),Whitchurch-Stouffville Clippers,TNT Tornados,1,1
Sep 14,6:30 PM,Ice Palace (Blue),Georgina Blaze,Newmarket Redmen,2,5
Sep 17,3:45 PM,Magna (Pfaff),Newmarket Redmen,Richmond Hill Stars,3,2
Sep 17,5:00 PM,Milliken Mills,Markham Waxers,Aurora Tigers,2,2
Sep 18,3:15 PM,Magna (Honda),Newmarket Redmen,Markham Waxers,7,1
Sep 19,6:00 PM,Holly Rec (Rink 2),Barrie Colts,Aurora Tigers,2,1
Sep 20,7:00 PM,New Tecumseth Rec (NTRC 1),TNT Tornados,Markham Waxers,0,7
Sep 21,6:30 PM,Stouffville Clippers (CC1),Whitchurch-Stouffville Clippers,Newmarket Redmen,0,8
Sep 23,7:45 PM,East Bayfield (Green),Barrie Colts,TNT Tornados,6,2
Sep 25,3:15 PM,Magna (Honda),Newmarket Redmen,Georgina Blaze,10,5
Sep 25,5:30 PM,Stouffville (Pad A),Whitchurch-Stouffville Clippers,Aurora Tigers,0,2
Sep 26,6:30 PM,Stronach ARC (Pfaff (East)),Aurora Tigers,Richmond Hill Stars,6,2
Sep 27,7:00 PM,New Tecumseth Rec (NTRC 1),TNT Tornados,Markham Waxers,5,4
Sep 28,6:30 PM,Ice Palace (Blue),Georgina Blaze,Richmond Hill Stars,2,1
Sep 29,7:00 PM,Stronach ARC (Toyota (West)),Aurora Tigers,Whitchurch-Stouffville Clippers,4,3
Oct 01,2:30 PM,Elvis Stojko,Richmond Hill Stars,Whitchurch-Stouffville Clippers,3,2
Oct 01,3:00 PM,New Tecumseth Rec (NTRC 1),TNT Tornados,Newmarket Redmen,1,8
Oct 02,2:00 PM,Milliken Mills,Markham Waxers,TNT Tornados,1,3
Oct 02,3:15 PM,Magna (Honda),Newmarket Redmen,Richmond Hill Stars,5,4
Oct 02,5:30 PM,Stouffville (Pad A),Whitchurch-Stouffville Clippers,Barrie Colts,1,4
Oct 03,6:30 PM,Stronach ARC (Pfaff (East)),Aurora Tigers,Newmarket Redmen,4,1
Oct 05,7:30 PM,Stouffville (Pad A),Whitchurch-Stouffville Clippers,Newmarket Redmen,3,8
Oct 06,7:00 PM,Stronach ARC (Toyota (West)),Aurora Tigers,Georgina Blaze,9,1
Oct 07,6:30 PM,Georgina Sutton,Georgina Blaze,Markham Waxers,0,3
Oct 08,2:30 PM,New Tecumseth Rec (NTRC 1),TNT Tornados,Georgina Blaze,2,2
Oct 08,5:00 PM,Milliken Mills,Markham Waxers,Barrie Colts,1,1
Oct 09,3:30 PM,Allandale Rec (Blue),Barrie Colts,Markham Waxers,4,0
Oct 11,7:00 PM,New Tecumseth Rec (NTRC 1),TNT Tornados,Barrie Colts,2,7
Oct 12,6:30 PM,Ice Palace (Blue),Georgina Blaze,Richmond Hill Stars,2,6
Oct 14,6:00 PM,Stronach ARC (Toyota (West)),Aurora Tigers,Markham Waxers,6,4
Oct 15,1:30 PM,New Tecumseth Rec (NTRC 2),TNT Tornados,Aurora Tigers,1,1
Oct 15,4:00 PM,Elvis Stojko,Richmond Hill Stars,Markham Waxers,3,8
Oct 15,5:30 PM,Stroud-Innisfil,Barrie Colts,Georgina Blaze,1,2
Oct 16,3:15 PM,Magna (Honda),Newmarket Redmen,TNT Tornados,2,0
Oct 16,3:15 PM,Milliken Mills,Markham Waxers,Georgina Blaze,4,2
Oct 16,5:30 PM,Stouffville (Pad A),Whitchurch-Stouffville Clippers,Richmond Hill Stars,3,1
